X (cm),Measured
10.15,3.24E-02
10.1,3.27E-02
10.05,3.32E-02
10,3.37E-02
9.95,3.41E-02
9.9,3.42E-02
9.85,3.46E-02
9.8,3.51E-02
9.75,3.55E-02
9.7,3.61E-02
9.65,3.62E-02
9.6,3.66E-02
9.55,3.72E-02
9.5,3.74E-02
9.45,3.79E-02
9.4,3.87E-02
9.35,3.92E-02
9.3,3.93E-02
9.25,4.03E-02
9.2,4.07E-02
9.15,4.13E-02
9.1,4.16E-02
9.05,4.24E-02
9,4.28E-02
8.95,4.34E-02
8.9,4.40E-02
8.85,4.45E-02
8.8,4.47E-02
8.75,4.55E-02
8.7,4.63E-02
8.65,4.67E-02
8.6,4.73E-02
8.55,4.79E-02
8.5,4.85E-02
8.45,4.89E-02
8.4,5.01E-02
8.35,5.07E-02
8.3,5.11E-02
8.25,5.19E-02
8.2,5.29E-02
8.15,5.36E-02
8.1,5.38E-02
8.05,5.51E-02
8,5.57E-02
7.95,5.61E-02
7.9,5.73E-02
7.85,5.80E-02
7.8,5.88E-02
7.75,5.93E-02
7.7,6.02E-02
7.65,6.12E-02
7.6,6.22E-02
7.55,6.27E-02
7.5,6.34E-02
7.45,6.56E-02
7.4,6.64E-02
7.35,6.70E-02
7.3,6.78E-02
7.25,6.89E-02
7.2,6.97E-02
7.15,7.12E-02
7.1,7.18E-02
7.05,7.33E-02
7,7.50E-02
6.95,7.63E-02
6.9,7.72E-02
6.85,7.82E-02
6.8,7.99E-02
6.75,8.09E-02
6.7,8.18E-02
6.65,8.39E-02
6.6,8.52E-02
6.55,8.73E-02
6.5,8.86E-02
6.45,9.06E-02
6.4,9.19E-02
6.35,9.45E-02
6.3,9.62E-02
6.25,9.88E-02
6.2,1.01E-01
6.15,1.04E-01
6.1,1.07E-01
6.05,1.10E-01
6,1.13E-01
5.95,1.18E-01
5.9,1.23E-01
5.85,1.28E-01
5.8,1.34E-01
5.75,1.41E-01
5.7,1.48E-01
5.65,1.59E-01
5.6,1.71E-01
5.55,1.84E-01
5.5,2.00E-01
5.45,2.18E-01
5.4,2.42E-01
5.35,2.69E-01
5.3,2.97E-01
5.25,3.36E-01
5.2,3.70E-01
5.15,4.10E-01
5.1,4.50E-01
5.05,4.95E-01
5,5.36E-01
4.95,5.85E-01
4.9,6.31E-01
4.85,6.73E-01
4.8,7.13E-01
4.75,7.46E-01
4.7,7.85E-01
4.65,8.14E-01
4.6,8.38E-01
4.55,8.62E-01
4.5,8.79E-01
4.45,8.98E-01
4.4,9.08E-01
4.35,9.21E-01
4.3,9.26E-01
4.25,9.35E-01
4.2,9.43E-01
4.15,9.46E-01
4.1,9.52E-01
4.05,9.55E-01
4,9.58E-01
3.95,9.60E-01
3.9,9.64E-01
3.85,9.66E-01
3.8,9.69E-01
3.75,9.70E-01
3.7,9.71E-01
3.65,9.72E-01
3.6,9.75E-01
3.55,9.76E-01
3.5,9.77E-01
3.45,9.79E-01
3.4,9.80E-01
3.35,9.81E-01
3.3,9.82E-01
3.25,9.82E-01
3.2,9.84E-01
3.15,9.85E-01
3.1,9.85E-01
3.05,9.86E-01
3,9.88E-01
2.95,9.89E-01
2.9,9.89E-01
2.85,9.90E-01
2.8,9.90E-01
2.75,9.90E-01
2.7,9.90E-01
2.65,9.91E-01
2.6,9.91E-01
2.55,9.92E-01
2.5,9.92E-01
2.45,9.93E-01
2.4,9.93E-01
2.35,9.94E-01
2.3,9.95E-01
2.25,9.95E-01
2.2,9.95E-01
2.15,9.95E-01
2.1,9.96E-01
2.05,9.96E-01
2,9.97E-01
1.95,9.97E-01
1.9,9.97E-01
1.85,9.97E-01
1.8,9.97E-01
1.75,9.97E-01
1.7,9.98E-01
1.65,9.98E-01
1.6,9.98E-01
1.55,9.98E-01
1.5,9.98E-01
1.45,9.98E-01
1.4,9.98E-01
1.35,9.98E-01
1.3,9.98E-01
1.25,9.98E-01
1.2,9.98E-01
1.15,9.98E-01
1.1,9.98E-01
1.05,9.98E-01
1,9.99E-01
0.95,1.00E+00
0.9,9.99E-01
0.85,9.99E-01
0.8,9.99E-01
0.75,1.00E+00
0.7,1.00E+00
0.65,9.99E-01
0.6,9.99E-01
0.55,9.99E-01
0.5,9.99E-01
0.45,9.99E-01
0.4,9.99E-01
0.35,9.99E-01
0.3,9.99E-01
0.25,9.99E-01
0.2,9.99E-01
0.15,1.00E+00
0.1,9.99E-01
0.05,1.00E+00
0,9.99E-01
-0.05,1.00E+00
-0.1,1.00E+00
-0.15,1.00E+00
-0.2,1.00E+00
-0.25,9.99E-01
-0.3,9.99E-01
-0.35,1.00E+00
-0.4,9.99E-01
-0.45,9.99E-01
-0.5,9.99E-01
-0.55,9.99E-01
-0.6,9.99E-01
-0.65,1.00E+00
-0.7,1.00E+00
-0.75,1.00E+00
-0.8,9.99E-01
-0.85,9.99E-01
-0.9,9.99E-01
-0.95,9.99E-01
-1,9.99E-01
-1.05,9.99E-01
-1.1,9.99E-01
-1.15,9.99E-01
-1.2,9.99E-01
-1.25,9.99E-01
-1.3,9.99E-01
-1.35,9.99E-01
-1.4,9.99E-01
-1.45,9.99E-01
-1.5,9.99E-01
-1.55,9.99E-01
-1.6,9.99E-01
-1.65,9.99E-01
-1.7,9.98E-01
-1.75,9.98E-01
-1.8,9.98E-01
-1.85,9.98E-01
-1.9,9.98E-01
-1.95,9.98E-01
-2,9.98E-01
-2.05,9.98E-01
-2.1,9.97E-01
-2.15,9.96E-01
-2.2,9.96E-01
-2.25,9.96E-01
-2.3,9.96E-01
-2.35,9.96E-01
-2.4,9.95E-01
-2.45,9.95E-01
-2.5,9.94E-01
-2.55,9.94E-01
-2.6,9.93E-01
-2.65,9.93E-01
-2.7,9.93E-01
-2.75,9.92E-01
-2.8,9.92E-01
-2.85,9.91E-01
-2.9,9.90E-01
-2.95,9.90E-01
-3,9.89E-01
-3.05,9.89E-01
-3.1,9.88E-01
-3.15,9.87E-01
-3.2,9.87E-01
-3.25,9.84E-01
-3.3,9.83E-01
-3.35,9.83E-01
-3.4,9.82E-01
-3.45,9.81E-01
-3.5,9.79E-01
-3.55,9.76E-01
-3.6,9.76E-01
-3.65,9.75E-01
-3.7,9.74E-01
-3.75,9.72E-01
-3.8,9.68E-01
-3.85,9.65E-01
-3.9,9.64E-01
-3.95,9.63E-01
-4,9.60E-01
-4.05,9.57E-01
-4.1,9.52E-01
-4.15,9.47E-01
-4.2,9.40E-01
-4.25,9.34E-01
-4.3,9.26E-01
-4.35,9.17E-01
-4.4,9.02E-01
-4.45,8.88E-01
-4.5,8.71E-01
-4.55,8.49E-01
-4.6,8.25E-01
-4.65,7.90E-01
-4.7,7.59E-01
-4.75,7.24E-01
-4.8,6.82E-01
-4.85,6.38E-01
-4.9,5.93E-01
-4.95,5.48E-01
-5,5.05E-01
-5.05,4.63E-01
-5.1,4.21E-01
-5.15,3.78E-01
-5.2,3.38E-01
-5.25,3.08E-01
-5.3,2.78E-01
-5.35,2.52E-01
-5.4,2.28E-01
-5.45,2.07E-01
-5.5,1.90E-01
-5.55,1.77E-01
-5.6,1.64E-01
-5.65,1.54E-01
-5.7,1.46E-01
-5.75,1.37E-01
-5.8,1.31E-01
-5.85,1.26E-01
-5.9,1.20E-01
-5.95,1.16E-01
-6,1.11E-01
-6.05,1.09E-01
-6.1,1.05E-01
-6.15,1.03E-01
-6.2,9.97E-02
-6.25,9.75E-02
-6.3,9.53E-02
-6.35,9.29E-02
-6.4,9.11E-02
-6.45,8.92E-02
-6.5,8.80E-02
-6.55,8.62E-02
-6.6,8.46E-02
-6.65,8.29E-02
-6.7,8.13E-02
-6.75,7.97E-02
-6.8,7.89E-02
-6.85,7.73E-02
-6.9,7.57E-02
-6.95,7.49E-02
-7,7.35E-02
-7.05,7.26E-02
-7.1,7.11E-02
-7.15,7.03E-02
-7.2,6.91E-02
-7.25,6.84E-02
-7.3,6.70E-02
-7.35,6.68E-02
-7.4,6.63E-02
-7.45,6.51E-02
-7.5,6.37E-02
-7.55,6.28E-02
-7.6,6.14E-02
-7.65,6.10E-02
-7.7,6.01E-02
-7.75,5.90E-02
-7.8,5.84E-02
-7.85,5.73E-02
-7.9,5.69E-02
-7.95,5.58E-02
-8,5.51E-02
-8.05,5.42E-02
