Y (cm),Measured
10.2,2.68E-02
10.15,2.68E-02
10.1,2.71E-02
10.05,2.75E-02
10,2.77E-02
9.95,2.79E-02
9.9,2.83E-02
9.85,2.85E-02
9.8,2.91E-02
9.75,2.95E-02
9.7,2.99E-02
9.65,3.01E-02
9.6,3.07E-02
9.55,3.10E-02
9.5,3.15E-02
9.45,3.18E-02
9.4,3.23E-02
9.35,3.26E-02
9.3,3.32E-02
9.25,3.35E-02
9.2,3.37E-02
9.15,3.43E-02
9.1,3.45E-02
9.05,3.53E-02
9,3.55E-02
8.95,3.58E-02
8.9,3.67E-02
8.85,3.72E-02
8.8,3.75E-02
8.75,3.80E-02
8.7,3.84E-02
8.65,3.90E-02
8.6,3.96E-02
8.55,4.02E-02
8.5,4.10E-02
8.45,4.16E-02
8.4,4.23E-02
8.35,4.25E-02
8.3,4.33E-02
8.25,4.37E-02
8.2,4.45E-02
8.15,4.50E-02
8.1,4.57E-02
8.05,4.69E-02
8,4.72E-02
7.95,4.83E-02
7.9,4.88E-02
7.85,4.94E-02
7.8,5.05E-02
7.75,5.17E-02
7.7,5.22E-02
7.65,5.27E-02
7.6,5.35E-02
7.55,5.45E-02
7.5,5.54E-02
7.45,5.67E-02
7.4,5.74E-02
7.35,5.80E-02
7.3,5.94E-02
7.25,6.00E-02
7.2,6.17E-02
7.15,6.21E-02
7.1,6.39E-02
7.05,6.52E-02
7,6.62E-02
6.95,6.72E-02
6.9,6.86E-02
6.85,6.96E-02
6.8,7.08E-02
6.75,7.19E-02
6.7,7.40E-02
6.65,7.58E-02
6.6,7.66E-02
6.55,7.83E-02
6.5,7.99E-02
6.45,8.09E-02
6.4,8.30E-02
6.35,8.51E-02
6.3,8.72E-02
6.25,8.96E-02
6.2,9.14E-02
6.15,9.41E-02
6.1,9.68E-02
6.05,9.98E-02
6,1.03E-01
5.95,1.06E-01
5.9,1.11E-01
5.85,1.15E-01
5.8,1.18E-01
5.75,1.25E-01
5.7,1.32E-01
5.65,1.38E-01
5.6,1.48E-01
5.55,1.58E-01
5.5,1.69E-01
5.45,1.84E-01
5.4,2.02E-01
5.35,2.24E-01
5.3,2.55E-01
5.25,2.90E-01
5.2,3.35E-01
5.15,3.79E-01
5.1,4.34E-01
5.05,4.79E-01
5,5.29E-01
4.95,5.84E-01
4.9,6.30E-01
4.85,6.79E-01
4.8,7.25E-01
4.75,7.71E-01
4.7,8.16E-01
4.65,8.45E-01
4.6,8.74E-01
4.55,8.94E-01
4.5,9.07E-01
4.45,9.20E-01
4.4,9.32E-01
4.35,9.40E-01
4.3,9.43E-01
4.25,9.51E-01
4.2,9.53E-01
4.15,9.59E-01
4.1,9.61E-01
4.05,9.64E-01
4,9.68E-01
3.95,9.70E-01
3.9,9.73E-01
3.85,9.73E-01
3.8,9.74E-01
3.75,9.77E-01
3.7,9.79E-01
3.65,9.81E-01
3.6,9.81E-01
3.55,9.83E-01
3.5,9.84E-01
3.45,9.85E-01
3.4,9.86E-01
3.35,9.88E-01
3.3,9.88E-01
3.25,9.88E-01
3.2,9.90E-01
3.15,9.90E-01
3.1,9.91E-01
3.05,9.92E-01
3,9.92E-01
2.95,9.92E-01
2.9,9.94E-01
2.85,9.95E-01
2.8,9.95E-01
2.75,9.95E-01
2.7,9.96E-01
2.65,9.96E-01
2.6,9.96E-01
2.55,9.97E-01
2.5,9.97E-01
2.45,9.97E-01
2.4,9.97E-01
2.35,9.97E-01
2.3,9.96E-01
2.25,9.97E-01
2.2,9.97E-01
2.15,9.97E-01
2.1,9.97E-01
2.05,9.97E-01
2,9.97E-01
1.95,9.97E-01
1.9,9.98E-01
1.85,9.98E-01
1.8,9.99E-01
1.75,9.99E-01
1.7,9.99E-01
1.65,9.99E-01
1.6,1.00E+00
1.55,1.00E+00
1.5,1.00E+00
1.45,1.00E+00
1.4,1.00E+00
1.35,1.00E+00
1.3,1.00E+00
1.25,9.99E-01
1.2,1.00E+00
1.15,9.99E-01
1.1,9.99E-01
1.05,9.99E-01
1,9.99E-01
0.95,9.99E-01
0.9,9.99E-01
0.85,9.99E-01
0.8,9.99E-01
0.75,9.99E-01
0.7,9.99E-01
0.65,9.98E-01
0.6,1.00E+00
0.55,9.99E-01
0.5,9.99E-01
0.45,9.99E-01
0.4,9.99E-01
0.35,9.99E-01
0.3,9.99E-01
0.25,9.99E-01
0.2,9.99E-01
0.15,9.99E-01
0.1,9.99E-01
0.05,9.98E-01
0,9.99E-01
-0.05,9.99E-01
-0.1,9.99E-01
-0.15,9.99E-01
-0.2,9.98E-01
-0.25,9.98E-01
-0.3,9.98E-01
-0.35,9.98E-01
-0.4,9.98E-01
-0.45,9.98E-01
-0.5,9.98E-01
-0.55,9.98E-01
-0.6,9.98E-01
-0.65,9.98E-01
-0.7,9.99E-01
-0.75,9.99E-01
-0.8,9.99E-01
-0.85,9.99E-01
-0.9,9.99E-01
-0.95,9.99E-01
-1,9.98E-01
-1.05,9.99E-01
-1.1,9.99E-01
-1.15,9.99E-01
-1.2,9.99E-01
-1.25,9.99E-01
-1.3,1.00E+00
-1.35,1.00E+00
-1.4,1.00E+00
-1.45,9.99E-01
-1.5,9.99E-01
-1.55,9.99E-01
-1.6,1.00E+00
-1.65,1.00E+00
-1.7,1.00E+00
-1.75,9.99E-01
-1.8,9.99E-01
-1.85,9.99E-01
-1.9,9.98E-01
-1.95,9.98E-01
-2,9.98E-01
-2.05,9.99E-01
-2.1,9.98E-01
-2.15,9.98E-01
-2.2,9.98E-01
-2.25,9.98E-01
-2.3,9.98E-01
-2.35,9.98E-01
-2.4,9.98E-01
-2.45,9.98E-01
-2.5,9.97E-01
-2.55,9.96E-01
-2.6,9.96E-01
-2.65,9.96E-01
-2.7,9.95E-01
-2.75,9.95E-01
-2.8,9.95E-01
-2.85,9.95E-01
-2.9,9.94E-01
-2.95,9.93E-01
-3,9.93E-01
-3.05,9.92E-01
-3.1,9.91E-01
-3.15,9.91E-01
-3.2,9.91E-01
-3.25,9.90E-01
-3.3,9.89E-01
-3.35,9.87E-01
-3.4,9.87E-01
-3.45,9.86E-01
-3.5,9.84E-01
-3.55,9.84E-01
-3.6,9.81E-01
-3.65,9.80E-01
-3.7,9.79E-01
-3.75,9.76E-01
-3.8,9.76E-01
-3.85,9.74E-01
-3.9,9.73E-01
-3.95,9.69E-01
-4,9.65E-01
-4.05,9.64E-01
-4.1,9.60E-01
-4.15,9.55E-01
-4.2,9.53E-01
-4.25,9.46E-01
-4.3,9.40E-01
-4.35,9.35E-01
-4.4,9.24E-01
-4.45,9.16E-01
-4.5,9.02E-01
-4.55,8.82E-01
-4.6,8.62E-01
-4.65,8.30E-01
-4.7,7.90E-01
-4.75,7.49E-01
-4.8,7.03E-01
-4.85,6.58E-01
-4.9,6.04E-01
-4.95,5.51E-01
-5,5.00E-01
-5.05,4.52E-01
-5.1,4.00E-01
-5.15,3.54E-01
-5.2,3.10E-01
-5.25,2.70E-01
-5.3,2.38E-01
-5.35,2.13E-01
-5.4,1.92E-01
-5.45,1.76E-01
-5.5,1.63E-01
-5.55,1.52E-01
-5.6,1.43E-01
-5.65,1.34E-01
-5.7,1.27E-01
-5.75,1.21E-01
-5.8,1.16E-01
-5.85,1.12E-01
-5.9,1.08E-01
-5.95,1.04E-01
-6,1.00E-01
-6.05,9.75E-02
-6.1,9.51E-02
-6.15,9.22E-02
-6.2,9.03E-02
-6.25,8.78E-02
-6.3,8.64E-02
-6.35,8.43E-02
-6.4,8.23E-02
-6.45,8.03E-02
-6.5,7.91E-02
-6.55,7.70E-02
-6.6,7.57E-02
-6.65,7.41E-02
-6.7,7.27E-02
-6.75,7.18E-02
-6.8,6.98E-02
-6.85,6.90E-02
-6.9,6.77E-02
-6.95,6.61E-02
-7,6.52E-02
-7.05,6.40E-02
-7.1,6.29E-02
-7.15,6.23E-02
-7.2,6.13E-02
-7.25,5.99E-02
-7.3,5.88E-02
-7.35,5.76E-02
-7.4,5.68E-02
-7.45,5.56E-02
-7.5,5.47E-02
-7.55,5.40E-02
-7.6,5.34E-02
-7.65,5.30E-02
-7.7,5.20E-02
-7.75,5.14E-02
-7.8,5.03E-02
-7.85,4.91E-02
-7.9,4.89E-02
-7.95,4.78E-02
-8,4.67E-02
-8.05,4.64E-02
-8.1,4.54E-02
-8.15,4.47E-02
-8.2,4.41E-02
