Z (cm),Measured
30,2.13E-01
29.8,2.15E-01
29.6,2.17E-01
29.4,2.20E-01
29.2,2.22E-01
29,2.25E-01
28.8,2.28E-01
28.6,2.30E-01
28.4,2.32E-01
28.2,2.36E-01
28,2.38E-01
27.8,2.40E-01
27.6,2.43E-01
27.4,2.46E-01
27.2,2.49E-01
27,2.51E-01
26.8,2.55E-01
26.6,2.57E-01
26.4,2.60E-01
26.2,2.63E-01
26,2.66E-01
25.8,2.69E-01
25.6,2.72E-01
25.4,2.74E-01
25.2,2.78E-01
25,2.82E-01
24.8,2.84E-01
24.6,2.87E-01
24.4,2.90E-01
24.2,2.94E-01
24,2.97E-01
23.8,3.01E-01
23.6,3.04E-01
23.4,3.08E-01
23.2,3.11E-01
23,3.14E-01
22.8,3.17E-01
22.6,3.21E-01
22.4,3.25E-01
22.2,3.29E-01
22,3.32E-01
21.8,3.36E-01
21.6,3.40E-01
21.4,3.44E-01
21.2,3.48E-01
21,3.52E-01
20.8,3.56E-01
20.6,3.60E-01
20.4,3.64E-01
20.2,3.68E-01
20,3.73E-01
19.8,3.77E-01
19.6,3.81E-01
19.4,3.86E-01
19.2,3.89E-01
19,3.94E-01
18.8,3.99E-01
18.6,4.03E-01
18.4,4.08E-01
18.2,4.13E-01
18,4.17E-01
17.8,4.22E-01
17.6,4.27E-01
17.4,4.32E-01
17.2,4.36E-01
17,4.41E-01
16.8,4.47E-01
16.6,4.52E-01
16.4,4.56E-01
16.2,4.62E-01
16,4.67E-01
15.8,4.72E-01
15.6,4.78E-01
15.4,4.83E-01
15.2,4.89E-01
15,4.94E-01
14.8,5.00E-01
14.6,5.05E-01
14.4,5.11E-01
14.2,5.17E-01
14,5.22E-01
13.8,5.29E-01
13.6,5.34E-01
13.4,5.41E-01
13.2,5.48E-01
13,5.52E-01
12.8,5.60E-01
12.6,5.66E-01
12.4,5.72E-01
12.2,5.79E-01
12,5.85E-01
11.8,5.92E-01
11.6,5.99E-01
11.4,6.05E-01
11.2,6.12E-01
11,6.19E-01
10.8,6.26E-01
10.6,6.33E-01
10.4,6.40E-01
10.2,6.46E-01
10,6.55E-01
9.8,6.61E-01
9.6,6.68E-01
9.4,6.76E-01
9.2,6.83E-01
9,6.91E-01
8.8,6.99E-01
8.6,7.07E-01
8.4,7.13E-01
8.2,7.22E-01
8,7.30E-01
7.8,7.38E-01
7.6,7.45E-01
7.4,7.53E-01
7.2,7.62E-01
7,7.69E-01
6.8,7.78E-01
6.6,7.86E-01
6.4,7.94E-01
6.2,8.03E-01
6,8.11E-01
5.8,8.21E-01
5.6,8.28E-01
5.4,8.36E-01
5.2,8.45E-01
5,8.54E-01
4.8,8.63E-01
4.6,8.71E-01
4.4,8.81E-01
4.2,8.88E-01
4,8.97E-01
3.8,9.08E-01
3.6,9.15E-01
3.4,9.23E-01
3.2,9.33E-01
3,9.42E-01
2.8,9.50E-01
2.6,9.60E-01
2.5,9.64E-01
2.4,9.67E-01
2.3,9.72E-01
2.2,9.77E-01
2.1,9.80E-01
2,9.85E-01
1.9,9.89E-01
1.8,9.92E-01
1.7,9.97E-01
1.6,9.97E-01
1.5,9.99E-01
1.4,1.00E+00
1.3,1.00E+00
1.2,9.97E-01
1.1,9.92E-01
1,9.86E-01
0.9,9.74E-01
0.8,9.60E-01
0.7,9.39E-01
0.6,9.11E-01
0.5,8.72E-01
0.4,8.22E-01
0.3,7.53E-01
0.2,6.67E-01
0.1,5.60E-01
0,5.04E-01
