X (cm),Measured
-5.99,0.005110733
-5.8,0.005110733
-5.6,0.005110733
-5.4,0.005110733
-5.2,0.00681431
-5,0.00681431
-4.8,0.00681431
-4.6,0.008517888
-4.4,0.008517888
-4.2,0.010221465
-4,0.010221465
-3.8,0.011925043
-3.6,0.01362862
-3.4,0.015332198
-3.2,0.017035775
-3,0.02044293
-2.8,0.023850085
-2.6,0.028960818
-2.55,0.032367973
-2.5,0.03407155
-2.45,0.035775128
-2.4,0.039182283
-2.35,0.042589438
-2.3,0.045996593
-2.24,0.051107325
-2.2,0.056218058
-2.15,0.064735945
-2.1,0.074957411
-2.05,0.088586031
-2,0.105621806
-1.96,0.131175468
-1.9,0.163543441
-1.85,0.207836457
-1.8,0.26746167
-1.75,0.337308348
-1.7,0.419080068
-1.65,0.507666099
-1.6,0.592844974
-1.55,0.67802385
-1.5,0.739352641
-1.45,0.798977853
-1.4,0.841567291
-1.35,0.873935264
-1.3,0.896081772
-1.25,0.916524702
-1.2,0.931856899
-1.15,0.936967632
-1.1,0.94548552
-1.05,0.95229983
-1,0.960817717
-0.95,0.964224872
-0.9,0.967632027
-0.85,0.97274276
-0.8,0.976149915
-0.75,0.981260647
-0.7,0.97955707
-0.66,0.982964225
-0.6,0.98637138
-0.55,0.98637138
-0.5,0.989778535
-0.45,0.99318569
-0.4,0.996592845
-0.2,1
0,0.998296422
0.2,0.996592845
0.4,0.988074957
0.6,0.984667802
0.65,0.976149915
0.7,0.97955707
0.75,0.976149915
0.8,0.974446337
0.81,0.976149915
0.86,0.96592845
0.9,0.964224872
0.95,0.95911414
1,0.957410562
1.04,0.948892675
1.1,0.940374787
1.15,0.928449744
1.2,0.919931857
1.25,0.909710392
1.3,0.890971039
1.35,0.870528109
1.4,0.841567291
1.45,0.795570698
1.5,0.741056218
1.55,0.672913118
1.6,0.587734242
1.65,0.492333901
1.7,0.403747871
1.75,0.327086882
1.8,0.257240204
1.85,0.187393526
1.89,0.148211244
1.95,0.117546848
2,0.095400341
2.05,0.083475298
2.09,0.068143101
2.15,0.06132879
2.2,0.05451448
2.25,0.049403748
2.3,0.044293015
2.35,0.04088586
2.4,0.037478705
2.45,0.03407155
2.5,0.032367973
2.55,0.030664395
2.6,0.028960818
2.65,0.02725724
2.7,0.025553663
2.75,0.025553663
2.79,0.023850085
3,0.02044293
3.2,0.017035775
3.4,0.015332198
3.6,0.01362862
3.8,0.011925043
4,0.010221465
4.2,0.010221465
4.4,0.008517888
4.6,0.00681431
4.8,0.00681431
4.99,0.00681431
5.21,0.00681431
5.4,0.005110733
5.6,0.005110733
5.8,0.005110733
6,0.003407155
