X (cm),measured
-0.19,0.459
-0.14,0.459
-0.09,0.459
-0.04,0.459
-0.03,0.459
0.01,0.458
0.06,0.458
0.11,0.458
0.12,0.465
0.16,0.527
0.21,0.594
0.26,0.654
0.31,0.695
0.32,0.703
0.36,0.738
0.41,0.776
0.46,0.806
0.51,0.833
0.56,0.854
0.61,0.875
0.62,0.878
0.66,0.894
0.71,0.911
0.76,0.925
0.81,0.937
0.86,0.947
0.91,0.954
0.92,0.955
0.96,0.964
1.01,0.972
1.06,0.978
1.11,0.982
1.16,0.986
1.21,0.99
1.26,0.993
1.31,0.995
1.36,0.995
1.42,0.997
1.46,0.998
1.51,0.999
1.56,1
1.57,1
1.61,0.998
1.66,0.999
1.72,0.997
1.76,0.997
1.81,0.994
1.86,0.994
1.91,0.994
1.96,0.991
1.97,0.991
2.01,0.989
2.06,0.986
2.11,0.985
2.16,0.984
2.21,0.981
2.26,0.98
2.31,0.976
2.36,0.974
2.37,0.973
2.41,0.971
2.47,0.97
2.51,0.967
2.52,0.967
2.56,0.964
2.61,0.965
2.66,0.96
2.71,0.957
2.76,0.954
2.81,0.953
2.86,0.948
2.91,0.948
2.96,0.943
3.01,0.941
3.02,0.941
3.06,0.938
3.11,0.936
3.12,0.935
3.16,0.933
3.21,0.931
3.26,0.929
3.31,0.926
3.36,0.923
3.41,0.92
3.46,0.915
3.47,0.914
3.51,0.914
3.52,0.913
3.56,0.911
3.61,0.91
3.66,0.907
3.71,0.904
3.76,0.901
3.81,0.902
3.86,0.896
3.91,0.894
3.97,0.892
4.01,0.887
4.06,0.887
4.11,0.884
4.16,0.88
4.21,0.879
4.26,0.877
4.27,0.876
4.31,0.874
4.36,0.872
4.41,0.869
4.46,0.867
4.51,0.864
4.52,0.863
4.56,0.86
4.61,0.861
4.66,0.856
4.71,0.853
4.76,0.85
4.81,0.85
4.86,0.846
4.91,0.844
4.96,0.843
5.01,0.839
5.06,0.837
5.11,0.834
5.16,0.834
5.17,0.833
5.21,0.829
5.26,0.827
5.31,0.824
5.36,0.821
5.37,0.821
5.41,0.822
5.46,0.817
5.51,0.814
5.56,0.812
5.61,0.809
5.66,0.808
5.71,0.804
5.76,0.801
5.81,0.799
5.86,0.798
5.91,0.794
5.96,0.792
6.01,0.788
6.06,0.785
6.11,0.784
6.16,0.781
6.21,0.78
6.26,0.777
6.3,0.774
6.31,0.774
6.36,0.773
6.41,0.769
6.46,0.767
6.51,0.765
6.56,0.763
6.61,0.759
6.66,0.758
6.71,0.756
6.76,0.751
6.81,0.75
6.86,0.748
6.91,0.747
6.96,0.744
7.01,0.742
7.06,0.74
7.11,0.737
7.16,0.733
7.21,0.732
7.26,0.731
7.31,0.728
