[ T - C r o s s ]
    title = energy spectrum
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.3000000      # minimum value of x-mesh points
     xmax =  0.3000000      # maximum value of x-mesh points
#    xdel =  0.6000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -3.00000E-01  3.00000E-01
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -3.00000E+01 -1.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.3000000      # minimum value of z-mesh points
     zmax =  0.3000000      # maximum value of z-mesh points
#    zdel =  0.6000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -3.00000E-01  3.00000E-01
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   7.000000      # maximum value of e-mesh points
#    edel =  0.1000000      # mesh width of e-mesh points
       ne =     70          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00000E-01  2.00000E-01  3.00000E-01  4.00000E-01
#           5.00000E-01  6.00000E-01  7.00000E-01  8.00000E-01  9.00000E-01
#           1.00000E+00  1.10000E+00  1.20000E+00  1.30000E+00  1.40000E+00
#           1.50000E+00  1.60000E+00  1.70000E+00  1.80000E+00  1.90000E+00
#           2.00000E+00  2.10000E+00  2.20000E+00  2.30000E+00  2.40000E+00
#           2.50000E+00  2.60000E+00  2.70000E+00  2.80000E+00  2.90000E+00
#           3.00000E+00  3.10000E+00  3.20000E+00  3.30000E+00  3.40000E+00
#           3.50000E+00  3.60000E+00  3.70000E+00  3.80000E+00  3.90000E+00
#           4.00000E+00  4.10000E+00  4.20000E+00  4.30000E+00  4.40000E+00
#           4.50000E+00  4.60000E+00  4.70000E+00  4.80000E+00  4.90000E+00
#           5.00000E+00  5.10000E+00  5.20000E+00  5.30000E+00  5.40000E+00
#           5.50000E+00  5.60000E+00  5.70000E+00  5.80000E+00  5.90000E+00
#           6.00000E+00  6.10000E+00  6.20000E+00  6.30000E+00  6.40000E+00
#           6.50000E+00  6.60000E+00  6.70000E+00  6.80000E+00  6.90000E+00
#           7.00000E+00
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = cross_eng-w.out  # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  photon     electron 
# kf/name :  22         11       
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          81 (  0)           0 (  0)          81 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1   ix  =  1   iy  =  1
#   zmesh =   -3.0000E-01
#   x = (  -3.0000E-01  -   3.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   2.3732E-02  0.0081   0.0000E+00  0.0000
   1.0000E-01   2.0000E-01   1.8031E-01  0.0026   1.1316E-04  0.0384
   2.0000E-01   3.0000E-01   3.8313E-01  0.0028   8.1382E-05  0.0433
   3.0000E-01   4.0000E-01   3.9825E-01  0.0018   5.8830E-05  0.0464
   4.0000E-01   5.0000E-01   3.5541E-01  0.0029   4.5766E-05  0.0443
   5.0000E-01   6.0000E-01   3.4704E-01  0.0027   4.2952E-05  0.0409
   6.0000E-01   7.0000E-01   2.7300E-01  0.0024   3.6881E-05  0.0492
   7.0000E-01   8.0000E-01   2.4149E-01  0.0027   3.2341E-05  0.1188
   8.0000E-01   9.0000E-01   2.1665E-01  0.0024   2.7951E-05  0.0871
   9.0000E-01   1.0000E+00   1.9318E-01  0.0021   2.2824E-05  0.0685
   1.0000E+00   1.1000E+00   1.7557E-01  0.0030   2.0089E-05  0.0504
   1.1000E+00   1.2000E+00   1.6036E-01  0.0031   2.0386E-05  0.1730
   1.2000E+00   1.3000E+00   1.4743E-01  0.0021   1.6701E-05  0.1275
   1.3000E+00   1.4000E+00   1.3562E-01  0.0034   1.7672E-05  0.1037
   1.4000E+00   1.5000E+00   1.2514E-01  0.0034   1.2227E-05  0.1345
   1.5000E+00   1.6000E+00   1.1509E-01  0.0050   1.2787E-05  0.1026
   1.6000E+00   1.7000E+00   1.0666E-01  0.0047   1.2554E-05  0.0980
   1.7000E+00   1.8000E+00   9.9722E-02  0.0050   1.0640E-05  0.1323
   1.8000E+00   1.9000E+00   9.3001E-02  0.0033   1.0441E-05  0.1616
   1.9000E+00   2.0000E+00   8.7156E-02  0.0038   8.6122E-06  0.1020
   2.0000E+00   2.1000E+00   8.1100E-02  0.0045   9.8596E-06  0.1278
   2.1000E+00   2.2000E+00   7.6426E-02  0.0064   1.0610E-05  0.1893
   2.2000E+00   2.3000E+00   7.1979E-02  0.0050   1.0681E-05  0.1429
   2.3000E+00   2.4000E+00   6.8403E-02  0.0051   9.5904E-06  0.3100
   2.4000E+00   2.5000E+00   6.4793E-02  0.0063   7.1281E-06  0.1619
   2.5000E+00   2.6000E+00   6.0625E-02  0.0042   5.8518E-06  0.0726
   2.6000E+00   2.7000E+00   5.6422E-02  0.0050   6.9016E-06  0.2314
   2.7000E+00   2.8000E+00   5.3301E-02  0.0042   7.6906E-06  0.2328
   2.8000E+00   2.9000E+00   5.1287E-02  0.0057   9.2422E-06  0.2567
   2.9000E+00   3.0000E+00   4.8846E-02  0.0035   4.1832E-06  0.2823
   3.0000E+00   3.1000E+00   4.5701E-02  0.0070   5.1743E-06  0.1935
   3.1000E+00   3.2000E+00   4.4496E-02  0.0059   4.7527E-06  0.1896
   3.2000E+00   3.3000E+00   4.1408E-02  0.0050   3.9721E-06  0.1852
   3.3000E+00   3.4000E+00   3.9940E-02  0.0081   3.5373E-06  0.3379
   3.4000E+00   3.5000E+00   3.8172E-02  0.0055   2.9427E-06  0.2051
   3.5000E+00   3.6000E+00   3.6036E-02  0.0048   3.9447E-06  0.4542
   3.6000E+00   3.7000E+00   3.4577E-02  0.0075   4.8067E-06  0.3627
