[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   1.350000      # minimum value of y-mesh points
     ymax =   1.650000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.35000E+00  1.65000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =     80          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-y-water-15z.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   1.3500E+00  -   1.6500E+00  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   1.4048E-15  0.0727
  -4.8750E+00  -4.7500E+00   1.2905E-15  0.0698
  -4.7500E+00  -4.6250E+00   1.5501E-15  0.0673
  -4.6250E+00  -4.5000E+00   1.3661E-15  0.0600
  -4.5000E+00  -4.3750E+00   1.4589E-15  0.0893
  -4.3750E+00  -4.2500E+00   1.7209E-15  0.0778
  -4.2500E+00  -4.1250E+00   1.6865E-15  0.1089
  -4.1250E+00  -4.0000E+00   1.5651E-15  0.0697
  -4.0000E+00  -3.8750E+00   1.7433E-15  0.0649
  -3.8750E+00  -3.7500E+00   1.8687E-15  0.0607
  -3.7500E+00  -3.6250E+00   2.1437E-15  0.0680
  -3.6250E+00  -3.5000E+00   2.2527E-15  0.0489
  -3.5000E+00  -3.3750E+00   2.2224E-15  0.0820
  -3.3750E+00  -3.2500E+00   2.1885E-15  0.0470
  -3.2500E+00  -3.1250E+00   2.6677E-15  0.0636
  -3.1250E+00  -3.0000E+00   2.6945E-15  0.0779
  -3.0000E+00  -2.8750E+00   3.1647E-15  0.0844
  -2.8750E+00  -2.7500E+00   3.8930E-15  0.0655
  -2.7500E+00  -2.6250E+00   4.0503E-15  0.0484
  -2.6250E+00  -2.5000E+00   4.2432E-15  0.0783
  -2.5000E+00  -2.3750E+00   4.9658E-15  0.0481
  -2.3750E+00  -2.2500E+00   5.3019E-15  0.0340
  -2.2500E+00  -2.1250E+00   6.1907E-15  0.0248
  -2.1250E+00  -2.0000E+00   8.3918E-15  0.0500
  -2.0000E+00  -1.8750E+00   1.1417E-14  0.0466
  -1.8750E+00  -1.7500E+00   1.5554E-14  0.0296
  -1.7500E+00  -1.6250E+00   2.2266E-14  0.0181
  -1.6250E+00  -1.5000E+00   3.2563E-14  0.0363
  -1.5000E+00  -1.3750E+00   5.6668E-14  0.0195
  -1.3750E+00  -1.2500E+00   1.0486E-13  0.0117
  -1.2500E+00  -1.1250E+00   2.1080E-13  0.0132
  -1.1250E+00  -1.0000E+00   7.2308E-13  0.0056
  -1.0000E+00  -8.7500E-01   1.3095E-12  0.0067
  -8.7500E-01  -7.5000E-01   1.4506E-12  0.0057
  -7.5000E-01  -6.2500E-01   1.4983E-12  0.0050
  -6.2500E-01  -5.0000E-01   1.5323E-12  0.0046
  -5.0000E-01  -3.7500E-01   1.5543E-12  0.0058
  -3.7500E-01  -2.5000E-01   1.5743E-12  0.0046
  -2.5000E-01  -1.2500E-01   1.5886E-12  0.0038
  -1.2500E-01   0.0000E+00   1.5858E-12  0.0042
   0.0000E+00   1.2500E-01   1.5884E-12  0.0032
   1.2500E-01   2.5000E-01   1.5760E-12  0.0035
   2.5000E-01   3.7500E-01   1.5785E-12  0.0052
   3.7500E-01   5.0000E-01   1.5642E-12  0.0055
   5.0000E-01   6.2500E-01   1.5307E-12  0.0043
   6.2500E-01   7.5000E-01   1.5080E-12  0.0039
   7.5000E-01   8.7500E-01   1.4693E-12  0.0031
   8.7500E-01   1.0000E+00   1.3065E-12  0.0042
   1.0000E+00   1.1250E+00   7.2025E-13  0.0052
   1.1250E+00   1.2500E+00   2.0994E-13  0.0131
   1.2500E+00   1.3750E+00   1.0231E-13  0.0195
   1.3750E+00   1.5000E+00   5.6677E-14  0.0292
   1.5000E+00   1.6250E+00   3.4198E-14  0.0156
