[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -5.000000      # minimum value of x-mesh points
     xmax =   5.000000      # maximum value of x-mesh points
#    xdel =  0.1250000      # mesh width of x-mesh points
       nx =     80          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   1.350000      # minimum value of y-mesh points
     ymax =   1.650000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.35000E+00  1.65000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.2500000      # minimum value of z-mesh points
     zmax =  0.2500000      # maximum value of z-mesh points
#    zdel =  0.5000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -2.50000E-01  2.50000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     x           # axis of output
     file = deposit-y-water-15x.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iy  =  1   iz  =  1
#   y = (   1.3500E+00  -   1.6500E+00  )
#   z = (  -2.5000E-01  -   2.5000E-01  )

x: x [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  x-lower      x-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   1.4126E-15  0.0870
  -4.8750E+00  -4.7500E+00   1.4328E-15  0.0843
  -4.7500E+00  -4.6250E+00   1.3866E-15  0.1019
  -4.6250E+00  -4.5000E+00   1.4412E-15  0.0393
  -4.5000E+00  -4.3750E+00   1.6370E-15  0.0811
  -4.3750E+00  -4.2500E+00   1.5723E-15  0.0541
  -4.2500E+00  -4.1250E+00   1.6342E-15  0.0837
  -4.1250E+00  -4.0000E+00   1.7895E-15  0.0630
  -4.0000E+00  -3.8750E+00   1.9527E-15  0.0479
  -3.8750E+00  -3.7500E+00   2.0007E-15  0.0678
  -3.7500E+00  -3.6250E+00   2.1056E-15  0.0701
  -3.6250E+00  -3.5000E+00   2.0058E-15  0.0758
  -3.5000E+00  -3.3750E+00   2.4479E-15  0.0767
  -3.3750E+00  -3.2500E+00   2.6055E-15  0.0455
  -3.2500E+00  -3.1250E+00   2.9761E-15  0.0564
  -3.1250E+00  -3.0000E+00   2.6894E-15  0.0627
  -3.0000E+00  -2.8750E+00   3.2329E-15  0.1216
  -2.8750E+00  -2.7500E+00   3.4413E-15  0.0986
  -2.7500E+00  -2.6250E+00   3.8205E-15  0.0588
  -2.6250E+00  -2.5000E+00   4.2089E-15  0.0653
  -2.5000E+00  -2.3750E+00   4.6665E-15  0.0464
  -2.3750E+00  -2.2500E+00   4.9407E-15  0.0629
  -2.2500E+00  -2.1250E+00   6.9623E-15  0.0534
  -2.1250E+00  -2.0000E+00   7.9765E-15  0.0561
  -2.0000E+00  -1.8750E+00   1.0721E-14  0.0422
  -1.8750E+00  -1.7500E+00   1.4422E-14  0.0464
  -1.7500E+00  -1.6250E+00   2.3590E-14  0.0416
  -1.6250E+00  -1.5000E+00   3.4700E-14  0.0327
  -1.5000E+00  -1.3750E+00   5.5879E-14  0.0133
  -1.3750E+00  -1.2500E+00   1.0438E-13  0.0123
  -1.2500E+00  -1.1250E+00   2.1095E-13  0.0170
  -1.1250E+00  -1.0000E+00   7.2673E-13  0.0099
  -1.0000E+00  -8.7500E-01   1.3172E-12  0.0043
  -8.7500E-01  -7.5000E-01   1.4452E-12  0.0075
  -7.5000E-01  -6.2500E-01   1.5079E-12  0.0045
  -6.2500E-01  -5.0000E-01   1.5358E-12  0.0037
  -5.0000E-01  -3.7500E-01   1.5539E-12  0.0043
  -3.7500E-01  -2.5000E-01   1.5637E-12  0.0042
  -2.5000E-01  -1.2500E-01   1.5823E-12  0.0065
  -1.2500E-01   0.0000E+00   1.5867E-12  0.0032
   0.0000E+00   1.2500E-01   1.5866E-12  0.0028
   1.2500E-01   2.5000E-01   1.5833E-12  0.0033
   2.5000E-01   3.7500E-01   1.5783E-12  0.0049
   3.7500E-01   5.0000E-01   1.5655E-12  0.0056
   5.0000E-01   6.2500E-01   1.5492E-12  0.0044
   6.2500E-01   7.5000E-01   1.5129E-12  0.0043
   7.5000E-01   8.7500E-01   1.4304E-12  0.0059
   8.7500E-01   1.0000E+00   1.3098E-12  0.0050
   1.0000E+00   1.1250E+00   7.2586E-13  0.0077
   1.1250E+00   1.2500E+00   2.1489E-13  0.0206
   1.2500E+00   1.3750E+00   1.0410E-13  0.0223
   1.3750E+00   1.5000E+00   5.6341E-14  0.0200
   1.5000E+00   1.6250E+00   3.3455E-14  0.0327
