[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.1000000      # minimum value of x-mesh points
     xmax =  0.1000000      # maximum value of x-mesh points
#    xdel =  0.2000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -1.00000E-01  1.00000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   0.000000      # minimum value of y-mesh points
     ymax =   30.00000      # maximum value of y-mesh points
#    ydel =  0.2000000      # mesh width of y-mesh points
       ny =    150          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           0.00000E+00  2.00000E-01  4.00000E-01  6.00000E-01  8.00000E-01
#           1.00000E+00  1.20000E+00  1.40000E+00  1.60000E+00  1.80000E+00
#           2.00000E+00  2.20000E+00  2.40000E+00  2.60000E+00  2.80000E+00
#           3.00000E+00  3.20000E+00  3.40000E+00  3.60000E+00  3.80000E+00
#           4.00000E+00  4.20000E+00  4.40000E+00  4.60000E+00  4.80000E+00
#           5.00000E+00  5.20000E+00  5.40000E+00  5.60000E+00  5.80000E+00
#           6.00000E+00  6.20000E+00  6.40000E+00  6.60000E+00  6.80000E+00
#           7.00000E+00  7.20000E+00  7.40000E+00  7.60000E+00  7.80000E+00
#           8.00000E+00  8.20000E+00  8.40000E+00  8.60000E+00  8.80000E+00
#           9.00000E+00  9.20000E+00  9.40000E+00  9.60000E+00  9.80000E+00
#           1.00000E+01  1.02000E+01  1.04000E+01  1.06000E+01  1.08000E+01
#           1.10000E+01  1.12000E+01  1.14000E+01  1.16000E+01  1.18000E+01
#           1.20000E+01  1.22000E+01  1.24000E+01  1.26000E+01  1.28000E+01
#           1.30000E+01  1.32000E+01  1.34000E+01  1.36000E+01  1.38000E+01
#           1.40000E+01  1.42000E+01  1.44000E+01  1.46000E+01  1.48000E+01
#           1.50000E+01  1.52000E+01  1.54000E+01  1.56000E+01  1.58000E+01
#           1.60000E+01  1.62000E+01  1.64000E+01  1.66000E+01  1.68000E+01
#           1.70000E+01  1.72000E+01  1.74000E+01  1.76000E+01  1.78000E+01
#           1.80000E+01  1.82000E+01  1.84000E+01  1.86000E+01  1.88000E+01
#           1.90000E+01  1.92000E+01  1.94000E+01  1.96000E+01  1.98000E+01
#           2.00000E+01  2.02000E+01  2.04000E+01  2.06000E+01  2.08000E+01
#           2.10000E+01  2.12000E+01  2.14000E+01  2.16000E+01  2.18000E+01
#           2.20000E+01  2.22000E+01  2.24000E+01  2.26000E+01  2.28000E+01
#           2.30000E+01  2.32000E+01  2.34000E+01  2.36000E+01  2.38000E+01
#           2.40000E+01  2.42000E+01  2.44000E+01  2.46000E+01  2.48000E+01
#           2.50000E+01  2.52000E+01  2.54000E+01  2.56000E+01  2.58000E+01
#           2.60000E+01  2.62000E+01  2.64000E+01  2.66000E+01  2.68000E+01
#           2.70000E+01  2.72000E+01  2.74000E+01  2.76000E+01  2.78000E+01
#           2.80000E+01  2.82000E+01  2.84000E+01  2.86000E+01  2.88000E+01
#           2.90000E+01  2.92000E+01  2.94000E+01  2.96000E+01  2.98000E+01
#           3.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.1000000      # minimum value of z-mesh points
     zmax =  0.1000000      # maximum value of z-mesh points
#    zdel =  0.2000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.00000E-01  1.00000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     y           # axis of output
     file = deposit-z-water.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         158 (  0)           0 (  0)         158 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iz  =  1
#   x = (  -1.0000E-01  -   1.0000E-01  )
#   z = (  -1.0000E-01  -   1.0000E-01  )

x: y [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l   n 
#  y-lower      y-upper      all         r.err 
   0.0000E+00   2.0000E-01   6.5642E-13  0.0090
   2.0000E-01   4.0000E-01   1.1186E-12  0.0076
   4.0000E-01   6.0000E-01   1.3139E-12  0.0079
   6.0000E-01   8.0000E-01   1.4464E-12  0.0099
   8.0000E-01   1.0000E+00   1.5177E-12  0.0098
   1.0000E+00   1.2000E+00   1.5634E-12  0.0091
   1.2000E+00   1.4000E+00   1.5893E-12  0.0093
   1.4000E+00   1.6000E+00   1.5987E-12  0.0046
   1.6000E+00   1.8000E+00   1.5861E-12  0.0059
   1.8000E+00   2.0000E+00   1.5574E-12  0.0055
   2.0000E+00   2.2000E+00   1.5578E-12  0.0079
   2.2000E+00   2.4000E+00   1.5315E-12  0.0064
   2.4000E+00   2.6000E+00   1.5174E-12  0.0087
   2.6000E+00   2.8000E+00   1.5150E-12  0.0069
   2.8000E+00   3.0000E+00   1.4719E-12  0.0056
   3.0000E+00   3.2000E+00   1.4599E-12  0.0056
   3.2000E+00   3.4000E+00   1.4314E-12  0.0063
   3.4000E+00   3.6000E+00   1.4200E-12  0.0089
   3.6000E+00   3.8000E+00   1.3787E-12  0.0048
   3.8000E+00   4.0000E+00   1.3633E-12  0.0065
   4.0000E+00   4.2000E+00   1.3487E-12  0.0084
   4.2000E+00   4.4000E+00   1.3379E-12  0.0080
   4.4000E+00   4.6000E+00   1.3126E-12  0.0057
   4.6000E+00   4.8000E+00   1.2952E-12  0.0118
   4.8000E+00   5.0000E+00   1.2810E-12  0.0092
   5.0000E+00   5.2000E+00   1.2605E-12  0.0060
   5.2000E+00   5.4000E+00   1.2600E-12  0.0051
   5.4000E+00   5.6000E+00   1.2325E-12  0.0077
   5.6000E+00   5.8000E+00   1.2055E-12  0.0067
   5.8000E+00   6.0000E+00   1.2120E-12  0.0101
   6.0000E+00   6.2000E+00   1.1962E-12  0.0058
   6.2000E+00   6.4000E+00   1.1615E-12  0.0057
   6.4000E+00   6.6000E+00   1.1273E-12  0.0062
   6.6000E+00   6.8000E+00   1.1223E-12  0.0080
   6.8000E+00   7.0000E+00   1.1238E-12  0.0062
   7.0000E+00   7.2000E+00   1.0970E-12  0.0133
   7.2000E+00   7.4000E+00   1.1012E-12  0.0183
   7.4000E+00   7.6000E+00   1.0679E-12  0.0080
   7.6000E+00   7.8000E+00   1.0559E-12  0.0111
   7.8000E+00   8.0000E+00   1.0365E-12  0.0094
   8.0000E+00   8.2000E+00   1.0302E-12  0.0063
   8.2000E+00   8.4000E+00   1.0270E-12  0.0071
   8.4000E+00   8.6000E+00   9.9333E-13  0.0072
   8.6000E+00   8.8000E+00   9.8997E-13  0.0091
   8.8000E+00   9.0000E+00   9.6046E-13  0.0117
   9.0000E+00   9.2000E+00   9.5445E-13  0.0056
   9.2000E+00   9.4000E+00   9.2649E-13  0.0064
   9.4000E+00   9.6000E+00   8.9972E-13  0.0082
   9.6000E+00   9.8000E+00   9.1141E-13  0.0056
   9.8000E+00   1.0000E+01   8.9668E-13  0.0089
   1.0000E+01   1.0200E+01   8.8510E-13  0.0115
   1.0200E+01   1.0400E+01   8.8288E-13  0.0137
   1.0400E+01   1.0600E+01   8.5931E-13  0.0131
   1.0600E+01   1.0800E+01   8.4117E-13  0.0126
   1.0800E+01   1.1000E+01   8.3613E-13  0.0128
   1.1000E+01   1.1200E+01   8.2696E-13  0.0085
   1.1200E+01   1.1400E+01   8.0867E-13  0.0095
   1.1400E+01   1.1600E+01   7.9826E-13  0.0122
   1.1600E+01   1.1800E+01   7.8701E-13  0.0112
   1.1800E+01   1.2000E+01   7.7232E-13  0.0075
   1.2000E+01   1.2200E+01   7.7063E-13  0.0085
   1.2200E+01   1.2400E+01   7.7325E-13  0.0104
   1.2400E+01   1.2600E+01   7.5875E-13  0.0078
   1.2600E+01   1.2800E+01   7.5036E-13  0.0096
   1.2800E+01   1.3000E+01   7.3851E-13  0.0151
   1.3000E+01   1.3200E+01   7.2951E-13  0.0082
   1.3200E+01   1.3400E+01   7.1288E-13  0.0086
   1.3400E+01   1.3600E+01   7.0666E-13  0.0070
   1.3600E+01   1.3800E+01   7.0583E-13  0.0056
   1.3800E+01   1.4000E+01   6.8068E-13  0.0110
   1.4000E+01   1.4200E+01   6.7704E-13  0.0118
   1.4200E+01   1.4400E+01   6.7200E-13  0.0134
   1.4400E+01   1.4600E+01   6.5581E-13  0.0119
   1.4600E+01   1.4800E+01   6.4153E-13  0.0053
   1.4800E+01   1.5000E+01   6.3757E-13  0.0106
   1.5000E+01   1.5200E+01   6.3293E-13  0.0105
   1.5200E+01   1.5400E+01   6.2317E-13  0.0146
   1.5400E+01   1.5600E+01   6.1661E-13  0.0137
   1.5600E+01   1.5800E+01   6.0753E-13  0.0113
   1.5800E+01   1.6000E+01   6.1785E-13  0.0070
   1.6000E+01   1.6200E+01   6.0127E-13  0.0090
   1.6200E+01   1.6400E+01   5.8223E-13  0.0132
   1.6400E+01   1.6600E+01   5.7040E-13  0.0101
   1.6600E+01   1.6800E+01   5.6560E-13  0.0094
   1.6800E+01   1.7000E+01   5.5385E-13  0.0087
   1.7000E+01   1.7200E+01   5.5612E-13  0.0141
   1.7200E+01   1.7400E+01   5.4829E-13  0.0074
   1.7400E+01   1.7600E+01   5.3200E-13  0.0113
   1.7600E+01   1.7800E+01   5.3515E-13  0.0171
   1.7800E+01   1.8000E+01   5.1897E-13  0.0128
   1.8000E+01   1.8200E+01   5.1650E-13  0.0075
   1.8200E+01   1.8400E+01   5.1184E-13  0.0089
   1.8400E+01   1.8600E+01   5.0313E-13  0.0122
   1.8600E+01   1.8800E+01   4.9112E-13  0.0103
   1.8800E+01   1.9000E+01   4.8637E-13  0.0122
   1.9000E+01   1.9200E+01   4.9094E-13  0.0185
   1.9200E+01   1.9400E+01   4.7726E-13  0.0144
   1.9400E+01   1.9600E+01   4.6839E-13  0.0146
   1.9600E+01   1.9800E+01   4.6232E-13  0.0148
   1.9800E+01   2.0000E+01   4.5435E-13  0.0123
   2.0000E+01   2.0200E+01   4.4610E-13  0.0152
   2.0200E+01   2.0400E+01   4.4319E-13  0.0070
   2.0400E+01   2.0600E+01   4.4650E-13  0.0164
   2.0600E+01   2.0800E+01   4.4173E-13  0.0180
   2.0800E+01   2.1000E+01   4.3779E-13  0.0093
   2.1000E+01   2.1200E+01   4.1831E-13  0.0105
   2.1200E+01   2.1400E+01   4.0802E-13  0.0091
   2.1400E+01   2.1600E+01   4.1576E-13  0.0120
   2.1600E+01   2.1800E+01   4.0773E-13  0.0170
   2.1800E+01   2.2000E+01   3.9589E-13  0.0134
   2.2000E+01   2.2200E+01   4.0026E-13  0.0166
   2.2200E+01   2.2400E+01   3.9657E-13  0.0138
   2.2400E+01   2.2600E+01   3.8839E-13  0.0183
   2.2600E+01   2.2800E+01   3.8233E-13  0.0097
   2.2800E+01   2.3000E+01   3.8492E-13  0.0146
   2.3000E+01   2.3200E+01   3.8100E-13  0.0114
   2.3200E+01   2.3400E+01   3.7116E-13  0.0175
   2.3400E+01   2.3600E+01   3.7042E-13  0.0055
   2.3600E+01   2.3800E+01   3.7194E-13  0.0148
   2.3800E+01   2.4000E+01   3.5239E-13  0.0150
   2.4000E+01   2.4200E+01   3.4914E-13  0.0140
   2.4200E+01   2.4400E+01   3.4197E-13  0.0196
   2.4400E+01   2.4600E+01   3.3887E-13  0.0157
   2.4600E+01   2.4800E+01   3.3515E-13  0.0132
   2.4800E+01   2.5000E+01   3.3289E-13  0.0125
   2.5000E+01   2.5200E+01   3.2287E-13  0.0150
   2.5200E+01   2.5400E+01   3.3001E-13  0.0143
   2.5400E+01   2.5600E+01   3.2516E-13  0.0113
   2.5600E+01   2.5800E+01   3.1929E-13  0.0186
   2.5800E+01   2.6000E+01   3.1344E-13  0.0141
   2.6000E+01   2.6200E+01   3.0954E-13  0.0108
   2.6200E+01   2.6400E+01   3.1020E-13  0.0154
   2.6400E+01   2.6600E+01   2.9580E-13  0.0259
   2.6600E+01   2.6800E+01   2.9509E-13  0.0244
   2.6800E+01   2.7000E+01   2.9410E-13  0.0128
   2.7000E+01   2.7200E+01   2.9065E-13  0.0149
   2.7200E+01   2.7400E+01   2.9070E-13  0.0127
   2.7400E+01   2.7600E+01   2.9143E-13  0.0100
   2.7600E+01   2.7800E+01   2.7522E-13  0.0143
   2.7800E+01   2.8000E+01   2.7208E-13  0.0186
   2.8000E+01   2.8200E+01   2.7095E-13  0.0182
   2.8200E+01   2.8400E+01   2.7678E-13  0.0128
   2.8400E+01   2.8600E+01   2.6183E-13  0.0167
   2.8600E+01   2.8800E+01   2.6428E-13  0.0113
   2.8800E+01   2.9000E+01   2.6309E-13  0.0125
   2.9000E+01   2.9200E+01   2.5455E-13  0.0249
   2.9200E+01   2.9400E+01   2.6092E-13  0.0133
   2.9400E+01   2.9600E+01   2.5184E-13  0.0185
   2.9600E+01   2.9800E+01   2.5098E-13  0.0130
   2.9800E+01   3.0000E+01   2.4650E-13  0.0207

'no. =  1,  iz =  1,  ix =  1'
msuc: {\huge [t-deposit: icntl=0]}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.08}
wt: s(0.7)
\vspace{-3}
  xmin  &=&  -1.0000E-01 [cm]
  xmax  &=&   1.0000E-01 [cm]
  zmin  &=&  -1.0000E-01 [cm]
  zmax  &=&   1.0000E-01 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  1 # 1:Batch variance, 2:History variance
# resc2  = 9.00000000000000000E+00 # Total source weight or Total source weight / maxcas
# resc3  = 9.00000000000000000E+00 # Total history number or Total batch number
# maxcas =    10000000 # History / Batch, only used for istdev=1
# rijklst= 197409415753881.0 # Next initial random number
