[ T - C r o s s ]
    title = energy spectrum
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.5000000      # minimum value of x-mesh points
     xmax =  0.5000000      # maximum value of x-mesh points
#    xdel =   1.000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -5.00000E-01  5.00000E-01
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -3.00000E+01 -1.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.5000000      # minimum value of z-mesh points
     zmax =  0.5000000      # maximum value of z-mesh points
#    zdel =   1.000000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E-01  5.00000E-01
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   7.000000      # maximum value of e-mesh points
#    edel =  0.1000000      # mesh width of e-mesh points
       ne =   70            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00000E-01  2.00000E-01  3.00000E-01  4.00000E-01
#           5.00000E-01  6.00000E-01  7.00000E-01  8.00000E-01  9.00000E-01
#           1.00000E+00  1.10000E+00  1.20000E+00  1.30000E+00  1.40000E+00
#           1.50000E+00  1.60000E+00  1.70000E+00  1.80000E+00  1.90000E+00
#           2.00000E+00  2.10000E+00  2.20000E+00  2.30000E+00  2.40000E+00
#           2.50000E+00  2.60000E+00  2.70000E+00  2.80000E+00  2.90000E+00
#           3.00000E+00  3.10000E+00  3.20000E+00  3.30000E+00  3.40000E+00
#           3.50000E+00  3.60000E+00  3.70000E+00  3.80000E+00  3.90000E+00
#           4.00000E+00  4.10000E+00  4.20000E+00  4.30000E+00  4.40000E+00
#           4.50000E+00  4.60000E+00  4.70000E+00  4.80000E+00  4.90000E+00
#           5.00000E+00  5.10000E+00  5.20000E+00  5.30000E+00  5.40000E+00
#           5.50000E+00  5.60000E+00  5.70000E+00  5.80000E+00  5.90000E+00
#           6.00000E+00  6.10000E+00  6.20000E+00  6.30000E+00  6.40000E+00
#           6.50000E+00  6.60000E+00  6.70000E+00  6.80000E+00  6.90000E+00
#           7.00000E+00
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = cross_eng.out   # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  photon     electron 
# kf/name :  22         11       
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          81 (  0)           0 (  0)          81 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1   ix  =  1   iy  =  1
#   zmesh =   -5.0000E-01
#   x = (  -5.0000E-01  -   5.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   6.1566E-03  0.0579   0.0000E+00  0.0000
   1.0000E-01   2.0000E-01   3.7858E-02  0.0352   5.5146E-05  0.0923
   2.0000E-01   3.0000E-01   8.2007E-02  0.0173   3.9925E-05  0.1493
   3.0000E-01   4.0000E-01   8.3624E-02  0.0182   3.1994E-05  0.0649
   4.0000E-01   5.0000E-01   7.1557E-02  0.0120   1.9737E-05  0.2008
   5.0000E-01   6.0000E-01   6.5180E-02  0.0141   1.6565E-05  0.2382
   6.0000E-01   7.0000E-01   5.5090E-02  0.0178   2.1203E-05  0.1325
   7.0000E-01   8.0000E-01   4.8751E-02  0.0251   1.3467E-05  0.4665
   8.0000E-01   9.0000E-01   4.5919E-02  0.0193   2.1308E-05  0.2530
   9.0000E-01   1.0000E+00   3.8776E-02  0.0089   1.1689E-05  0.6695
   1.0000E+00   1.1000E+00   3.4686E-02  0.0285   6.3192E-06  0.0967
   1.1000E+00   1.2000E+00   3.1522E-02  0.0287   4.3499E-05  0.8222
   1.2000E+00   1.3000E+00   2.9196E-02  0.0234   1.2076E-05  0.2573
   1.3000E+00   1.4000E+00   2.7800E-02  0.0028   3.0106E-06  0.6472
   1.4000E+00   1.5000E+00   2.4848E-02  0.0311   6.1613E-06  0.3119
   1.5000E+00   1.6000E+00   2.3932E-02  0.0237   8.9631E-06  0.1602
   1.6000E+00   1.7000E+00   2.1680E-02  0.0254   6.6997E-06  0.4271
   1.7000E+00   1.8000E+00   2.0102E-02  0.0255   6.4743E-06  0.6682
   1.8000E+00   1.9000E+00   1.9029E-02  0.0665   6.9803E-06  0.4194
   1.9000E+00   2.0000E+00   1.7238E-02  0.0642   4.8419E-06  0.8667
   2.0000E+00   2.1000E+00   1.5836E-02  0.0261   1.1911E-05  0.7404
   2.1000E+00   2.2000E+00   1.5246E-02  0.0373   6.0448E-06  0.6762
   2.2000E+00   2.3000E+00   1.4074E-02  0.0237   6.1327E-07  1.0000
   2.3000E+00   2.4000E+00   1.3473E-02  0.0489   2.1321E-06  0.6666
   2.4000E+00   2.5000E+00   1.2878E-02  0.0503   7.3174E-06  0.3537
   2.5000E+00   2.6000E+00   1.2068E-02  0.0231   1.2292E-06  1.0000
   2.6000E+00   2.7000E+00   1.1558E-02  0.0266   2.6491E-06  0.6152
   2.7000E+00   2.8000E+00   1.0670E-02  0.0324   1.5434E-05  0.5758
   2.8000E+00   2.9000E+00   9.3518E-03  0.0203   0.0000E+00  0.0000
   2.9000E+00   3.0000E+00   9.1967E-03  0.0589   2.6132E-06  0.6127
   3.0000E+00   3.1000E+00   9.0617E-03  0.0602   0.0000E+00  0.0000
   3.1000E+00   3.2000E+00   9.2632E-03  0.0394   5.9417E-07  1.0000
   3.2000E+00   3.3000E+00   8.0643E-03  0.0465   0.0000E+00  0.0000
   3.3000E+00   3.4000E+00   8.1140E-03  0.0162   1.1930E-06  1.0000
   3.4000E+00   3.5000E+00   7.2498E-03  0.0481   0.0000E+00  0.0000
   3.5000E+00   3.6000E+00   5.9059E-03  0.0504   0.0000E+00  0.0000
   3.6000E+00   3.7000E+00   5.8667E-03  0.0481   2.5189E-06  0.6276
   3.7000E+00   3.8000E+00   6.0240E-03  0.0390   1.7618E-06  1.0000
   3.8000E+00   3.9000E+00   5.8862E-03  0.0279   0.0000E+00  0.0000
   3.9000E+00   4.0000E+00   6.1933E-03  0.0670   0.0000E+00  0.0000
   4.0000E+00   4.1000E+00   5.9292E-03  0.0752   0.0000E+00  0.0000
   4.1000E+00   4.2000E+00   5.2892E-03  0.0589   0.0000E+00  0.0000
   4.2000E+00   4.3000E+00   5.2213E-03  0.0416   1.2631E-06  1.0000
   4.3000E+00   4.4000E+00   4.5336E-03  0.0545   7.5804E-06  1.0000
   4.4000E+00   4.5000E+00   4.5298E-03  0.0294   0.0000E+00  0.0000
   4.5000E+00   4.6000E+00   4.0582E-03  0.0779   0.0000E+00  0.0000
   4.6000E+00   4.7000E+00   4.1229E-03  0.0532   0.0000E+00  0.0000
   4.7000E+00   4.8000E+00   4.1060E-03  0.0463   0.0000E+00  0.0000
   4.8000E+00   4.9000E+00   3.4858E-03  0.0666   1.4424E-06  1.0000
   4.9000E+00   5.0000E+00   3.5249E-03  0.0489   2.3784E-06  1.0000
   5.0000E+00   5.1000E+00   3.1827E-03  0.1279   4.2187E-06  0.6950
   5.1000E+00   5.2000E+00   3.1773E-03  0.1006   0.0000E+00  0.0000
   5.2000E+00   5.3000E+00   2.5984E-03  0.1063   0.0000E+00  0.0000
   5.3000E+00   5.4000E+00   2.8067E-03  0.0629   0.0000E+00  0.0000
   5.4000E+00   5.5000E+00   2.5697E-03  0.0823   0.0000E+00  0.0000
   5.5000E+00   5.6000E+00   2.3431E-03  0.0688   6.8237E-06  0.6393
   5.6000E+00   5.7000E+00   2.4204E-03  0.1050   0.0000E+00  0.0000
   5.7000E+00   5.8000E+00   2.3618E-03  0.0743   0.0000E+00  0.0000
   5.8000E+00   5.9000E+00   1.8104E-03  0.0817   0.0000E+00  0.0000
   5.9000E+00   6.0000E+00   1.8577E-03  0.0991   0.0000E+00  0.0000
   6.0000E+00   6.1000E+00   1.7554E-03  0.0503   0.0000E+00  0.0000
   6.1000E+00   6.2000E+00   1.6737E-03  0.1108   0.0000E+00  0.0000
   6.2000E+00   6.3000E+00   1.5567E-03  0.0522   0.0000E+00  0.0000
   6.3000E+00   6.4000E+00   1.2626E-03  0.0859   0.0000E+00  0.0000
   6.4000E+00   6.5000E+00   1.1012E-03  0.1022   0.0000E+00  0.0000
   6.5000E+00   6.6000E+00   6.4635E-04  0.1406   0.0000E+00  0.0000
   6.6000E+00   6.7000E+00   7.0839E-04  0.3114   0.0000E+00  0.0000
   6.7000E+00   6.8000E+00   5.7673E-04  0.2375   0.0000E+00  0.0000
   6.8000E+00   6.9000E+00   3.1218E-04  0.1761   0.0000E+00  0.0000
   6.9000E+00   7.0000E+00   2.0189E-04  0.1593   0.0000E+00  0.0000

#   sum over                 1.0607E-01           4.1578E-05

'no. =  1,  iz surf =  1,  ix =  1,  iy =  1'
msuc: {\huge energy spectrum}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.02}
wt: s(0.7)
\vspace{-3}
  z surface crossing
  z     &=&  -5.0000E-01 [cm]
  area  &=&   2.0000E+01 [cm^2]
  xmin  &=&  -5.0000E-01 [cm]
  xmax  &=&   5.0000E-01 [cm]
  ymin  &=&  -3.0000E+01 [cm]
  ymax  &=&  -1.0000E+01 [cm]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   iz surf =  2   ix  =  1   iy  =  1
#   zmesh =    5.0000E-01
#   x = (  -5.0000E-01  -   5.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   5.8318E-03  0.0795   0.0000E+00  0.0000
   1.0000E-01   2.0000E-01   3.7748E-02  0.0329   6.3391E-05  0.1467
   2.0000E-01   3.0000E-01   8.0486E-02  0.0061   3.9784E-05  0.1012
   3.0000E-01   4.0000E-01   8.4840E-02  0.0140   2.9419E-05  0.2526
   4.0000E-01   5.0000E-01   7.3442E-02  0.0161   2.8191E-05  0.3044
   5.0000E-01   6.0000E-01   6.5155E-02  0.0184   2.5275E-05  0.5944
   6.0000E-01   7.0000E-01   5.5016E-02  0.0202   2.2241E-05  0.2103
   7.0000E-01   8.0000E-01   4.8576E-02  0.0102   1.8564E-05  0.2355
   8.0000E-01   9.0000E-01   4.2439E-02  0.0148   1.7279E-05  0.2378
   9.0000E-01   1.0000E+00   4.0077E-02  0.0194   1.1837E-05  0.1803
   1.0000E+00   1.1000E+00   3.4701E-02  0.0237   4.8455E-06  0.3647
   1.1000E+00   1.2000E+00   3.2316E-02  0.0183   2.8809E-05  0.6907
   1.2000E+00   1.3000E+00   3.0314E-02  0.0162   1.3135E-05  0.2351
   1.3000E+00   1.4000E+00   2.6740E-02  0.0344   8.4822E-06  0.5576
   1.4000E+00   1.5000E+00   2.5889E-02  0.0143   2.6288E-05  0.7055
   1.5000E+00   1.6000E+00   2.2903E-02  0.0318   2.7557E-06  0.2823
   1.6000E+00   1.7000E+00   2.1304E-02  0.0275   1.5724E-06  0.6160
   1.7000E+00   1.8000E+00   2.0182E-02  0.0272   3.0113E-06  0.5146
   1.8000E+00   1.9000E+00   1.8735E-02  0.0272   9.7346E-06  0.5687
   1.9000E+00   2.0000E+00   1.6610E-02  0.0194   1.1200E-06  0.6140
   2.0000E+00   2.1000E+00   1.6489E-02  0.0355   2.9645E-06  0.4851
   2.1000E+00   2.2000E+00   1.5219E-02  0.0349   1.0930E-05  0.8167
   2.2000E+00   2.3000E+00   1.3759E-02  0.0389   5.4064E-06  1.0000
   2.3000E+00   2.4000E+00   1.3838E-02  0.0392   1.9818E-06  0.7618
   2.4000E+00   2.5000E+00   1.1555E-02  0.0316   1.6170E-06  0.6182
   2.5000E+00   2.6000E+00   1.2201E-02  0.0529   4.2751E-06  0.7223
   2.6000E+00   2.7000E+00   1.0385E-02  0.0226   8.9562E-07  1.0000
   2.7000E+00   2.8000E+00   1.0760E-02  0.0328   0.0000E+00  0.0000
   2.8000E+00   2.9000E+00   1.0511E-02  0.0213   2.0427E-06  0.6137
   2.9000E+00   3.0000E+00   9.8302E-03  0.0536   7.2066E-06  0.2750
   3.0000E+00   3.1000E+00   8.4161E-03  0.0553   0.0000E+00  0.0000
   3.1000E+00   3.2000E+00   8.7206E-03  0.0530   1.3541E-05  0.6085
   3.2000E+00   3.3000E+00   8.2204E-03  0.0260   0.0000E+00  0.0000
   3.3000E+00   3.4000E+00   8.0588E-03  0.0836   3.8992E-06  0.7027
   3.4000E+00   3.5000E+00   6.5347E-03  0.0393   1.4790E-06  1.0000
   3.5000E+00   3.6000E+00   7.5553E-03  0.0650   4.4956E-06  0.6567
   3.6000E+00   3.7000E+00   6.2816E-03  0.0479   6.0971E-07  1.0000
   3.7000E+00   3.8000E+00   6.1648E-03  0.0503   1.9841E-05  0.9583
   3.8000E+00   3.9000E+00   6.0473E-03  0.0692   1.9418E-06  1.0000
   3.9000E+00   4.0000E+00   6.4501E-03  0.0235   0.0000E+00  0.0000
   4.0000E+00   4.1000E+00   5.3208E-03  0.0457   0.0000E+00  0.0000
   4.1000E+00   4.2000E+00   5.7849E-03  0.0692   0.0000E+00  0.0000
   4.2000E+00   4.3000E+00   5.1499E-03  0.0652   0.0000E+00  0.0000
   4.3000E+00   4.4000E+00   4.2865E-03  0.0315   1.2689E-06  1.0000
   4.4000E+00   4.5000E+00   4.0744E-03  0.0296   0.0000E+00  0.0000
   4.5000E+00   4.6000E+00   4.1270E-03  0.0718   0.0000E+00  0.0000
   4.6000E+00   4.7000E+00   3.8709E-03  0.0328   0.0000E+00  0.0000
   4.7000E+00   4.8000E+00   3.6715E-03  0.0420   0.0000E+00  0.0000
   4.8000E+00   4.9000E+00   3.1155E-03  0.0549   0.0000E+00  0.0000
   4.9000E+00   5.0000E+00   3.7257E-03  0.0595   1.0756E-05  0.6144
   5.0000E+00   5.1000E+00   3.4798E-03  0.0546   0.0000E+00  0.0000
   5.1000E+00   5.2000E+00   3.0559E-03  0.0634   0.0000E+00  0.0000
   5.2000E+00   5.3000E+00   3.1860E-03  0.0500   0.0000E+00  0.0000
   5.3000E+00   5.4000E+00   2.8685E-03  0.0972   0.0000E+00  0.0000
   5.4000E+00   5.5000E+00   2.9883E-03  0.0846   0.0000E+00  0.0000
   5.5000E+00   5.6000E+00   2.4450E-03  0.0708   0.0000E+00  0.0000
   5.6000E+00   5.7000E+00   2.2859E-03  0.1200   0.0000E+00  0.0000
   5.7000E+00   5.8000E+00   2.3982E-03  0.1232   0.0000E+00  0.0000
   5.8000E+00   5.9000E+00   2.1014E-03  0.0856   0.0000E+00  0.0000
   5.9000E+00   6.0000E+00   2.0681E-03  0.0996   0.0000E+00  0.0000
   6.0000E+00   6.1000E+00   1.9105E-03  0.0733   0.0000E+00  0.0000
   6.1000E+00   6.2000E+00   1.4863E-03  0.0817   0.0000E+00  0.0000
   6.2000E+00   6.3000E+00   1.3770E-03  0.0977   0.0000E+00  0.0000
   6.3000E+00   6.4000E+00   1.2435E-03  0.1527   0.0000E+00  0.0000
   6.4000E+00   6.5000E+00   1.2648E-03  0.1270   0.0000E+00  0.0000
   6.5000E+00   6.6000E+00   1.0533E-03  0.0868   0.0000E+00  0.0000
   6.6000E+00   6.7000E+00   5.7856E-04  0.1583   0.0000E+00  0.0000
   6.7000E+00   6.8000E+00   8.0590E-04  0.1841   0.0000E+00  0.0000
   6.8000E+00   6.9000E+00   3.8083E-04  0.2547   0.0000E+00  0.0000
   6.9000E+00   7.0000E+00   1.4915E-04  0.4030   0.0000E+00  0.0000

#   sum over                 1.0606E-01           4.5089E-05

'no. =  2,  iz surf =  2,  ix =  1,  iy =  1'
msuc: {\huge energy spectrum}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.02}
wt: s(0.7)
\vspace{-3}
  z surface crossing
  z     &=&   5.0000E-01 [cm]
  area  &=&   2.0000E+01 [cm^2]
  xmin  &=&  -5.0000E-01 [cm]
  xmax  &=&   5.0000E-01 [cm]
  ymin  &=&  -3.0000E+01 [cm]
  ymax  &=&  -1.0000E+01 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  1 # 1:Batch variance, 2:History variance
# resc2  = 1.50406859273472996E-04 # Total source weight or Total source weight / maxcas
# resc3  = 5.00000000000000000E+00 # Total history number or Total batch number
# maxcas =     1000000 # History / Batch, only used for istdev=1
# rijklst= 249405043501977.0 # Next initial random number
