[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.1000000      # minimum value of x-mesh points
     xmax =  0.1000000      # maximum value of x-mesh points
#    xdel =  0.2000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -1.00000E-01  1.00000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   0.000000      # minimum value of y-mesh points
     ymax =   30.00000      # maximum value of y-mesh points
#    ydel =  0.2000000      # mesh width of y-mesh points
       ny =  150            # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           0.00000E+00  2.00000E-01  4.00000E-01  6.00000E-01  8.00000E-01
#           1.00000E+00  1.20000E+00  1.40000E+00  1.60000E+00  1.80000E+00
#           2.00000E+00  2.20000E+00  2.40000E+00  2.60000E+00  2.80000E+00
#           3.00000E+00  3.20000E+00  3.40000E+00  3.60000E+00  3.80000E+00
#           4.00000E+00  4.20000E+00  4.40000E+00  4.60000E+00  4.80000E+00
#           5.00000E+00  5.20000E+00  5.40000E+00  5.60000E+00  5.80000E+00
#           6.00000E+00  6.20000E+00  6.40000E+00  6.60000E+00  6.80000E+00
#           7.00000E+00  7.20000E+00  7.40000E+00  7.60000E+00  7.80000E+00
#           8.00000E+00  8.20000E+00  8.40000E+00  8.60000E+00  8.80000E+00
#           9.00000E+00  9.20000E+00  9.40000E+00  9.60000E+00  9.80000E+00
#           1.00000E+01  1.02000E+01  1.04000E+01  1.06000E+01  1.08000E+01
#           1.10000E+01  1.12000E+01  1.14000E+01  1.16000E+01  1.18000E+01
#           1.20000E+01  1.22000E+01  1.24000E+01  1.26000E+01  1.28000E+01
#           1.30000E+01  1.32000E+01  1.34000E+01  1.36000E+01  1.38000E+01
#           1.40000E+01  1.42000E+01  1.44000E+01  1.46000E+01  1.48000E+01
#           1.50000E+01  1.52000E+01  1.54000E+01  1.56000E+01  1.58000E+01
#           1.60000E+01  1.62000E+01  1.64000E+01  1.66000E+01  1.68000E+01
#           1.70000E+01  1.72000E+01  1.74000E+01  1.76000E+01  1.78000E+01
#           1.80000E+01  1.82000E+01  1.84000E+01  1.86000E+01  1.88000E+01
#           1.90000E+01  1.92000E+01  1.94000E+01  1.96000E+01  1.98000E+01
#           2.00000E+01  2.02000E+01  2.04000E+01  2.06000E+01  2.08000E+01
#           2.10000E+01  2.12000E+01  2.14000E+01  2.16000E+01  2.18000E+01
#           2.20000E+01  2.22000E+01  2.24000E+01  2.26000E+01  2.28000E+01
#           2.30000E+01  2.32000E+01  2.34000E+01  2.36000E+01  2.38000E+01
#           2.40000E+01  2.42000E+01  2.44000E+01  2.46000E+01  2.48000E+01
#           2.50000E+01  2.52000E+01  2.54000E+01  2.56000E+01  2.58000E+01
#           2.60000E+01  2.62000E+01  2.64000E+01  2.66000E+01  2.68000E+01
#           2.70000E+01  2.72000E+01  2.74000E+01  2.76000E+01  2.78000E+01
#           2.80000E+01  2.82000E+01  2.84000E+01  2.86000E+01  2.88000E+01
#           2.90000E+01  2.92000E+01  2.94000E+01  2.96000E+01  2.98000E+01
#           3.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.1000000      # minimum value of z-mesh points
     zmax =  0.1000000      # maximum value of z-mesh points
#    zdel =  0.2000000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.00000E-01  1.00000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     y           # axis of output
     file = deposit-y-water.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         158 (  0)           0 (  0)         158 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iz  =  1
#   x = (  -1.0000E-01  -   1.0000E-01  )
#   z = (  -1.0000E-01  -   1.0000E-01  )

x: y [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  y-lower      y-upper      all         r.err 
   0.0000E+00   2.0000E-01   4.9600E-14  0.0164
   2.0000E-01   4.0000E-01   8.4697E-14  0.0168
   4.0000E-01   6.0000E-01   1.0158E-13  0.0148
   6.0000E-01   8.0000E-01   1.1002E-13  0.0111
   8.0000E-01   1.0000E+00   1.1755E-13  0.0163
   1.0000E+00   1.2000E+00   1.1830E-13  0.0120
   1.2000E+00   1.4000E+00   1.1865E-13  0.0135
   1.4000E+00   1.6000E+00   1.2089E-13  0.0163
   1.6000E+00   1.8000E+00   1.1979E-13  0.0081
   1.8000E+00   2.0000E+00   1.1907E-13  0.0103
   2.0000E+00   2.2000E+00   1.1706E-13  0.0093
   2.2000E+00   2.4000E+00   1.1796E-13  0.0130
   2.4000E+00   2.6000E+00   1.1628E-13  0.0166
   2.6000E+00   2.8000E+00   1.1672E-13  0.0121
   2.8000E+00   3.0000E+00   1.1501E-13  0.0130
   3.0000E+00   3.2000E+00   1.1355E-13  0.0181
   3.2000E+00   3.4000E+00   1.1000E-13  0.0171
   3.4000E+00   3.6000E+00   1.1091E-13  0.0111
   3.6000E+00   3.8000E+00   1.0746E-13  0.0113
   3.8000E+00   4.0000E+00   1.0723E-13  0.0106
   4.0000E+00   4.2000E+00   1.0408E-13  0.0109
   4.2000E+00   4.4000E+00   1.0147E-13  0.0143
   4.4000E+00   4.6000E+00   1.0111E-13  0.0161
   4.6000E+00   4.8000E+00   9.8370E-14  0.0169
   4.8000E+00   5.0000E+00   1.0118E-13  0.0093
   5.0000E+00   5.2000E+00   9.7367E-14  0.0163
   5.2000E+00   5.4000E+00   9.6261E-14  0.0128
   5.4000E+00   5.6000E+00   9.2613E-14  0.0108
   5.6000E+00   5.8000E+00   9.5277E-14  0.0173
   5.8000E+00   6.0000E+00   9.2255E-14  0.0104
   6.0000E+00   6.2000E+00   9.2148E-14  0.0146
   6.2000E+00   6.4000E+00   8.8596E-14  0.0130
   6.4000E+00   6.6000E+00   8.8687E-14  0.0198
   6.6000E+00   6.8000E+00   8.7914E-14  0.0172
   6.8000E+00   7.0000E+00   8.5546E-14  0.0112
   7.0000E+00   7.2000E+00   8.2983E-14  0.0121
   7.2000E+00   7.4000E+00   8.1810E-14  0.0090
   7.4000E+00   7.6000E+00   8.1528E-14  0.0117
   7.6000E+00   7.8000E+00   8.2067E-14  0.0124
   7.8000E+00   8.0000E+00   8.1972E-14  0.0153
   8.0000E+00   8.2000E+00   7.8933E-14  0.0101
   8.2000E+00   8.4000E+00   7.5892E-14  0.0107
   8.4000E+00   8.6000E+00   7.6850E-14  0.0119
   8.6000E+00   8.8000E+00   7.5785E-14  0.0180
   8.8000E+00   9.0000E+00   7.3550E-14  0.0137
   9.0000E+00   9.2000E+00   7.3023E-14  0.0104
   9.2000E+00   9.4000E+00   7.4028E-14  0.0142
   9.4000E+00   9.6000E+00   7.1049E-14  0.0117
   9.6000E+00   9.8000E+00   7.1175E-14  0.0119
   9.8000E+00   1.0000E+01   6.8781E-14  0.0161
   1.0000E+01   1.0200E+01   7.0009E-14  0.0106
   1.0200E+01   1.0400E+01   6.7573E-14  0.0175
   1.0400E+01   1.0600E+01   6.6584E-14  0.0132
   1.0600E+01   1.0800E+01   6.5294E-14  0.0202
   1.0800E+01   1.1000E+01   6.7884E-14  0.0157
   1.1000E+01   1.1200E+01   6.6838E-14  0.0107
   1.1200E+01   1.1400E+01   6.5490E-14  0.0093
   1.1400E+01   1.1600E+01   6.2402E-14  0.0151
   1.1600E+01   1.1800E+01   6.1475E-14  0.0204
   1.1800E+01   1.2000E+01   6.0422E-14  0.0192
   1.2000E+01   1.2200E+01   6.0438E-14  0.0113
   1.2200E+01   1.2400E+01   5.8247E-14  0.0150
   1.2400E+01   1.2600E+01   5.7583E-14  0.0172
   1.2600E+01   1.2800E+01   5.6417E-14  0.0165
   1.2800E+01   1.3000E+01   5.5815E-14  0.0134
   1.3000E+01   1.3200E+01   5.5330E-14  0.0138
   1.3200E+01   1.3400E+01   5.5342E-14  0.0141
   1.3400E+01   1.3600E+01   5.3636E-14  0.0187
   1.3600E+01   1.3800E+01   5.2380E-14  0.0144
   1.3800E+01   1.4000E+01   5.2964E-14  0.0237
   1.4000E+01   1.4200E+01   5.1566E-14  0.0188
   1.4200E+01   1.4400E+01   5.2409E-14  0.0105
   1.4400E+01   1.4600E+01   5.0445E-14  0.0298
   1.4600E+01   1.4800E+01   4.9692E-14  0.0275
   1.4800E+01   1.5000E+01   4.7959E-14  0.0300
   1.5000E+01   1.5200E+01   4.6441E-14  0.0171
   1.5200E+01   1.5400E+01   4.6207E-14  0.0256
   1.5400E+01   1.5600E+01   4.5875E-14  0.0150
   1.5600E+01   1.5800E+01   4.6794E-14  0.0116
   1.5800E+01   1.6000E+01   4.7158E-14  0.0197
   1.6000E+01   1.6200E+01   4.6226E-14  0.0250
   1.6200E+01   1.6400E+01   4.4655E-14  0.0237
   1.6400E+01   1.6600E+01   4.4349E-14  0.0246
   1.6600E+01   1.6800E+01   4.3445E-14  0.0229
   1.6800E+01   1.7000E+01   4.3536E-14  0.0360
   1.7000E+01   1.7200E+01   4.1677E-14  0.0245
   1.7200E+01   1.7400E+01   4.2371E-14  0.0196
   1.7400E+01   1.7600E+01   4.1436E-14  0.0265
   1.7600E+01   1.7800E+01   4.0713E-14  0.0201
   1.7800E+01   1.8000E+01   4.0473E-14  0.0176
   1.8000E+01   1.8200E+01   4.0664E-14  0.0286
   1.8200E+01   1.8400E+01   3.9451E-14  0.0321
   1.8400E+01   1.8600E+01   3.7925E-14  0.0287
   1.8600E+01   1.8800E+01   3.7752E-14  0.0229
   1.8800E+01   1.9000E+01   3.8529E-14  0.0275
   1.9000E+01   1.9200E+01   3.8990E-14  0.0181
   1.9200E+01   1.9400E+01   3.7615E-14  0.0259
