[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   1.350000      # minimum value of y-mesh points
     ymax =   1.650000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =    1            # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.35000E+00  1.65000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =   80            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-z-water-15.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   1.3500E+00  -   1.6500E+00  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   1.8290E-16  0.0879
  -4.8750E+00  -4.7500E+00   1.8765E-16  0.0718
  -4.7500E+00  -4.6250E+00   1.7283E-16  0.0629
  -4.6250E+00  -4.5000E+00   1.9471E-16  0.0718
  -4.5000E+00  -4.3750E+00   2.1936E-16  0.0595
  -4.3750E+00  -4.2500E+00   2.3290E-16  0.0600
  -4.2500E+00  -4.1250E+00   2.2650E-16  0.0657
  -4.1250E+00  -4.0000E+00   2.4094E-16  0.0515
  -4.0000E+00  -3.8750E+00   2.4646E-16  0.0612
  -3.8750E+00  -3.7500E+00   2.6317E-16  0.0486
  -3.7500E+00  -3.6250E+00   2.9714E-16  0.0582
  -3.6250E+00  -3.5000E+00   2.9227E-16  0.0455
  -3.5000E+00  -3.3750E+00   3.5019E-16  0.0670
  -3.3750E+00  -3.2500E+00   3.8921E-16  0.0565
  -3.2500E+00  -3.1250E+00   3.9596E-16  0.0429
  -3.1250E+00  -3.0000E+00   4.3888E-16  0.0445
  -3.0000E+00  -2.8750E+00   5.1065E-16  0.0619
  -2.8750E+00  -2.7500E+00   5.9890E-16  0.0567
  -2.7500E+00  -2.6250E+00   6.6116E-16  0.0464
  -2.6250E+00  -2.5000E+00   8.5230E-16  0.0455
  -2.5000E+00  -2.3750E+00   1.1507E-15  0.0418
  -2.3750E+00  -2.2500E+00   1.6010E-15  0.0429
  -2.2500E+00  -2.1250E+00   2.4046E-15  0.0347
  -2.1250E+00  -2.0000E+00   4.0173E-15  0.0218
  -2.0000E+00  -1.8750E+00   7.2977E-15  0.0185
  -1.8750E+00  -1.7500E+00   1.8933E-14  0.0140
  -1.7500E+00  -1.6250E+00   4.4340E-14  0.0102
  -1.6250E+00  -1.5000E+00   6.7506E-14  0.0078
  -1.5000E+00  -1.3750E+00   7.7440E-14  0.0059
  -1.3750E+00  -1.2500E+00   8.0141E-14  0.0050
  -1.2500E+00  -1.1250E+00   8.2065E-14  0.0062
  -1.1250E+00  -1.0000E+00   8.3079E-14  0.0050
  -1.0000E+00  -8.7500E-01   8.3855E-14  0.0069
  -8.7500E-01  -7.5000E-01   8.3304E-14  0.0059
  -7.5000E-01  -6.2500E-01   8.3766E-14  0.0056
  -6.2500E-01  -5.0000E-01   8.4760E-14  0.0065
  -5.0000E-01  -3.7500E-01   8.3775E-14  0.0063
  -3.7500E-01  -2.5000E-01   8.4075E-14  0.0067
  -2.5000E-01  -1.2500E-01   8.4016E-14  0.0062
  -1.2500E-01   0.0000E+00   8.4115E-14  0.0061
   0.0000E+00   1.2500E-01   8.3449E-14  0.0070
   1.2500E-01   2.5000E-01   8.4603E-14  0.0054
   2.5000E-01   3.7500E-01   8.4781E-14  0.0053
   3.7500E-01   5.0000E-01   8.4171E-14  0.0060
   5.0000E-01   6.2500E-01   8.4319E-14  0.0064
   6.2500E-01   7.5000E-01   8.4556E-14  0.0039
   7.5000E-01   8.7500E-01   8.3626E-14  0.0065
   8.7500E-01   1.0000E+00   8.3300E-14  0.0069
   1.0000E+00   1.1250E+00   8.3939E-14  0.0077
   1.1250E+00   1.2500E+00   8.1634E-14  0.0069
   1.2500E+00   1.3750E+00   8.0380E-14  0.0058
   1.3750E+00   1.5000E+00   7.7216E-14  0.0069
   1.5000E+00   1.6250E+00   6.7637E-14  0.0071
