[ T - C r o s s ]
    title = energy spectrum
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.3000000      # minimum value of x-mesh points
     xmax =  0.3000000      # maximum value of x-mesh points
#    xdel =  0.6000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -3.00000E-01  3.00000E-01
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -3.00000E+01 -1.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.3000000      # minimum value of z-mesh points
     zmax =  0.3000000      # maximum value of z-mesh points
#    zdel =  0.6000000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -3.00000E-01  3.00000E-01
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   7.000000      # maximum value of e-mesh points
#    edel =  0.1000000      # mesh width of e-mesh points
       ne =   70            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00000E-01  2.00000E-01  3.00000E-01  4.00000E-01
#           5.00000E-01  6.00000E-01  7.00000E-01  8.00000E-01  9.00000E-01
#           1.00000E+00  1.10000E+00  1.20000E+00  1.30000E+00  1.40000E+00
#           1.50000E+00  1.60000E+00  1.70000E+00  1.80000E+00  1.90000E+00
#           2.00000E+00  2.10000E+00  2.20000E+00  2.30000E+00  2.40000E+00
#           2.50000E+00  2.60000E+00  2.70000E+00  2.80000E+00  2.90000E+00
#           3.00000E+00  3.10000E+00  3.20000E+00  3.30000E+00  3.40000E+00
#           3.50000E+00  3.60000E+00  3.70000E+00  3.80000E+00  3.90000E+00
#           4.00000E+00  4.10000E+00  4.20000E+00  4.30000E+00  4.40000E+00
#           4.50000E+00  4.60000E+00  4.70000E+00  4.80000E+00  4.90000E+00
#           5.00000E+00  5.10000E+00  5.20000E+00  5.30000E+00  5.40000E+00
#           5.50000E+00  5.60000E+00  5.70000E+00  5.80000E+00  5.90000E+00
#           6.00000E+00  6.10000E+00  6.20000E+00  6.30000E+00  6.40000E+00
#           6.50000E+00  6.60000E+00  6.70000E+00  6.80000E+00  6.90000E+00
#           7.00000E+00
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = cross_eng-w.out  # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  photon     electron 
# kf/name :  22         11       
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   stdcut = 1.0000000E-02   # (D=-1) threshold value of STD cutoff
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          81 (  0)           0 (  0)          81 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1   ix  =  1   iy  =  1
#   zmesh =   -3.0000E-01
#   x = (  -3.0000E-01  -   3.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   1.1583E-03  0.0117   1.1973E-07  0.1645
   1.0000E-01   2.0000E-01   7.7567E-03  0.0046   9.0691E-06  0.0507
   2.0000E-01   3.0000E-01   1.6739E-02  0.0025   6.1945E-06  0.0441
   3.0000E-01   4.0000E-01   1.7061E-02  0.0034   4.2404E-06  0.0476
   4.0000E-01   5.0000E-01   1.4608E-02  0.0041   3.6842E-06  0.0537
   5.0000E-01   6.0000E-01   1.3301E-02  0.0029   3.0495E-06  0.0697
   6.0000E-01   7.0000E-01   1.1342E-02  0.0045   2.9106E-06  0.0645
   7.0000E-01   8.0000E-01   9.9328E-03  0.0041   2.3659E-06  0.1033
   8.0000E-01   9.0000E-01   9.3741E-03  0.0045   1.8924E-06  0.0784
   9.0000E-01   1.0000E+00   7.9811E-03  0.0042   1.7103E-06  0.0837
   1.0000E+00   1.1000E+00   7.0294E-03  0.0057   2.0726E-06  0.1003
   1.1000E+00   1.2000E+00   6.4649E-03  0.0050   1.6237E-06  0.1032
   1.2000E+00   1.3000E+00   5.9728E-03  0.0053   1.4530E-06  0.1031
   1.3000E+00   1.4000E+00   5.6862E-03  0.0061   1.2172E-06  0.1258
   1.4000E+00   1.5000E+00   5.0821E-03  0.0070   1.1805E-06  0.1747
   1.5000E+00   1.6000E+00   4.9108E-03  0.0053   1.2206E-06  0.1320
   1.6000E+00   1.7000E+00   4.4325E-03  0.0060   1.0501E-06  0.1922
   1.7000E+00   1.8000E+00   4.1461E-03  0.0057   1.0956E-06  0.1767
   1.8000E+00   1.9000E+00   3.8790E-03  0.0071   8.1438E-07  0.1320
   1.9000E+00   2.0000E+00   3.4835E-03  0.0053   8.0860E-07  0.2522
   2.0000E+00   2.1000E+00   3.2177E-03  0.0074   6.6945E-07  0.1697
   2.1000E+00   2.2000E+00   3.1195E-03  0.0055   7.6794E-07  0.1326
   2.2000E+00   2.3000E+00   2.8718E-03  0.0086   6.7871E-07  0.2255
   2.3000E+00   2.4000E+00   2.7102E-03  0.0079   7.6479E-07  0.2834
   2.4000E+00   2.5000E+00   2.6225E-03  0.0086   6.5650E-07  0.1762
   2.5000E+00   2.6000E+00   2.4709E-03  0.0069   4.3231E-07  0.2000
   2.6000E+00   2.7000E+00   2.3882E-03  0.0070   4.4170E-07  0.2035
   2.7000E+00   2.8000E+00   2.1705E-03  0.0108   5.6966E-07  0.2374
   2.8000E+00   2.9000E+00   1.9443E-03  0.0110   2.5096E-07  0.1989
   2.9000E+00   3.0000E+00   1.8479E-03  0.0098   3.5996E-07  0.1879
   3.0000E+00   3.1000E+00   1.8529E-03  0.0106   5.1789E-07  0.2474
   3.1000E+00   3.2000E+00   1.9105E-03  0.0107   3.6390E-07  0.2679
   3.2000E+00   3.3000E+00   1.6799E-03  0.0108   3.7087E-07  0.2998
   3.3000E+00   3.4000E+00   1.6531E-03  0.0087   2.6164E-07  0.3398
   3.4000E+00   3.5000E+00   1.5021E-03  0.0148   3.8888E-07  0.4430
   3.5000E+00   3.6000E+00   1.1983E-03  0.0140   3.0677E-07  0.2130
   3.6000E+00   3.7000E+00   1.1794E-03  0.0113   2.3482E-07  0.3801
   3.7000E+00   3.8000E+00   1.2212E-03  0.0088   2.4557E-07  0.2116
