[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -5.000000      # minimum value of x-mesh points
     xmax =   5.000000      # maximum value of x-mesh points
#    xdel =  0.1250000      # mesh width of x-mesh points
       nx =     80          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   1.350000      # minimum value of y-mesh points
     ymax =   1.650000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.35000E+00  1.65000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.2500000      # minimum value of z-mesh points
     zmax =  0.2500000      # maximum value of z-mesh points
#    zdel =  0.5000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -2.50000E-01  2.50000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     x           # axis of output
     file = deposit-y-water-15x.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iy  =  1   iz  =  1
#   y = (   1.3500E+00  -   1.6500E+00  )
#   z = (  -2.5000E-01  -   2.5000E-01  )

x: x [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  x-lower      x-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   1.5157E-15  0.0309
  -4.8750E+00  -4.7500E+00   1.6975E-15  0.0291
  -4.7500E+00  -4.6250E+00   1.6969E-15  0.0307
  -4.6250E+00  -4.5000E+00   1.8173E-15  0.0291
  -4.5000E+00  -4.3750E+00   2.0188E-15  0.0293
  -4.3750E+00  -4.2500E+00   2.1470E-15  0.0272
  -4.2500E+00  -4.1250E+00   2.7267E-15  0.0284
  -4.1250E+00  -4.0000E+00   3.1360E-15  0.0276
  -4.0000E+00  -3.8750E+00   3.9013E-15  0.0248
  -3.8750E+00  -3.7500E+00   5.2418E-15  0.0236
  -3.7500E+00  -3.6250E+00   7.8187E-15  0.0216
  -3.6250E+00  -3.5000E+00   1.1840E-14  0.0158
  -3.5000E+00  -3.3750E+00   2.0677E-14  0.0126
  -3.3750E+00  -3.2500E+00   5.4382E-14  0.0094
  -3.2500E+00  -3.1250E+00   1.3443E-13  0.0058
  -3.1250E+00  -3.0000E+00   1.5228E-13  0.0048
  -3.0000E+00  -2.8750E+00   1.6023E-13  0.0051
  -2.8750E+00  -2.7500E+00   1.6352E-13  0.0053
  -2.7500E+00  -2.6250E+00   1.6743E-13  0.0053
  -2.6250E+00  -2.5000E+00   1.7114E-13  0.0046
  -2.5000E+00  -2.3750E+00   1.7265E-13  0.0056
  -2.3750E+00  -2.2500E+00   1.7368E-13  0.0055
  -2.2500E+00  -2.1250E+00   1.7493E-13  0.0045
  -2.1250E+00  -2.0000E+00   1.7436E-13  0.0043
  -2.0000E+00  -1.8750E+00   1.7394E-13  0.0044
  -1.8750E+00  -1.7500E+00   1.7469E-13  0.0051
  -1.7500E+00  -1.6250E+00   1.7588E-13  0.0046
  -1.6250E+00  -1.5000E+00   1.7617E-13  0.0047
  -1.5000E+00  -1.3750E+00   1.7586E-13  0.0050
  -1.3750E+00  -1.2500E+00   1.7613E-13  0.0049
  -1.2500E+00  -1.1250E+00   1.7752E-13  0.0043
  -1.1250E+00  -1.0000E+00   1.7972E-13  0.0044
  -1.0000E+00  -8.7500E-01   1.8202E-13  0.0052
  -8.7500E-01  -7.5000E-01   1.8326E-13  0.0047
  -7.5000E-01  -6.2500E-01   1.8454E-13  0.0052
  -6.2500E-01  -5.0000E-01   1.8284E-13  0.0043
  -5.0000E-01  -3.7500E-01   1.8345E-13  0.0049
  -3.7500E-01  -2.5000E-01   1.8277E-13  0.0050
  -2.5000E-01  -1.2500E-01   1.8391E-13  0.0052
  -1.2500E-01   0.0000E+00   1.8386E-13  0.0043
   0.0000E+00   1.2500E-01   1.8366E-13  0.0046
   1.2500E-01   2.5000E-01   1.8335E-13  0.0049
   2.5000E-01   3.7500E-01   1.8338E-13  0.0044
   3.7500E-01   5.0000E-01   1.8404E-13  0.0045
   5.0000E-01   6.2500E-01   1.8316E-13  0.0043
   6.2500E-01   7.5000E-01   1.8469E-13  0.0048
   7.5000E-01   8.7500E-01   1.8415E-13  0.0044
   8.7500E-01   1.0000E+00   1.8257E-13  0.0048
   1.0000E+00   1.1250E+00   1.7998E-13  0.0051
   1.1250E+00   1.2500E+00   1.7636E-13  0.0049
   1.2500E+00   1.3750E+00   1.7560E-13  0.0050
   1.3750E+00   1.5000E+00   1.7419E-13  0.0055
   1.5000E+00   1.6250E+00   1.7706E-13  0.0058
