[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   1.350000      # minimum value of y-mesh points
     ymax =   1.650000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.35000E+00  1.65000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =     80          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-y-water-15z.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   1.3500E+00  -   1.6500E+00  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   1.5039E-15  0.0292
  -4.8750E+00  -4.7500E+00   1.6320E-15  0.0283
  -4.7500E+00  -4.6250E+00   1.7549E-15  0.0295
  -4.6250E+00  -4.5000E+00   1.8235E-15  0.0249
  -4.5000E+00  -4.3750E+00   2.0568E-15  0.0243
  -4.3750E+00  -4.2500E+00   2.2868E-15  0.0307
  -4.2500E+00  -4.1250E+00   2.5885E-15  0.0242
  -4.1250E+00  -4.0000E+00   3.0709E-15  0.0264
  -4.0000E+00  -3.8750E+00   3.9610E-15  0.0237
  -3.8750E+00  -3.7500E+00   5.2674E-15  0.0214
  -3.7500E+00  -3.6250E+00   7.4510E-15  0.0225
  -3.6250E+00  -3.5000E+00   1.1879E-14  0.0153
  -3.5000E+00  -3.3750E+00   2.1565E-14  0.0124
  -3.3750E+00  -3.2500E+00   5.4702E-14  0.0085
  -3.2500E+00  -3.1250E+00   1.3308E-13  0.0060
  -3.1250E+00  -3.0000E+00   1.5161E-13  0.0048
  -3.0000E+00  -2.8750E+00   1.5915E-13  0.0051
  -2.8750E+00  -2.7500E+00   1.6227E-13  0.0046
  -2.7500E+00  -2.6250E+00   1.6674E-13  0.0056
  -2.6250E+00  -2.5000E+00   1.7236E-13  0.0052
  -2.5000E+00  -2.3750E+00   1.7339E-13  0.0042
  -2.3750E+00  -2.2500E+00   1.7200E-13  0.0054
  -2.2500E+00  -2.1250E+00   1.7410E-13  0.0047
  -2.1250E+00  -2.0000E+00   1.7382E-13  0.0050
  -2.0000E+00  -1.8750E+00   1.7424E-13  0.0048
  -1.8750E+00  -1.7500E+00   1.7560E-13  0.0051
  -1.7500E+00  -1.6250E+00   1.7485E-13  0.0043
  -1.6250E+00  -1.5000E+00   1.7518E-13  0.0049
  -1.5000E+00  -1.3750E+00   1.7611E-13  0.0045
  -1.3750E+00  -1.2500E+00   1.7597E-13  0.0044
  -1.2500E+00  -1.1250E+00   1.7761E-13  0.0040
  -1.1250E+00  -1.0000E+00   1.7976E-13  0.0047
  -1.0000E+00  -8.7500E-01   1.8178E-13  0.0047
  -8.7500E-01  -7.5000E-01   1.8294E-13  0.0053
  -7.5000E-01  -6.2500E-01   1.8368E-13  0.0050
  -6.2500E-01  -5.0000E-01   1.8450E-13  0.0041
  -5.0000E-01  -3.7500E-01   1.8390E-13  0.0041
  -3.7500E-01  -2.5000E-01   1.8410E-13  0.0049
  -2.5000E-01  -1.2500E-01   1.8417E-13  0.0044
  -1.2500E-01   0.0000E+00   1.8255E-13  0.0046
   0.0000E+00   1.2500E-01   1.8447E-13  0.0047
   1.2500E-01   2.5000E-01   1.8360E-13  0.0049
   2.5000E-01   3.7500E-01   1.8392E-13  0.0038
   3.7500E-01   5.0000E-01   1.8348E-13  0.0041
   5.0000E-01   6.2500E-01   1.8310E-13  0.0050
   6.2500E-01   7.5000E-01   1.8352E-13  0.0042
   7.5000E-01   8.7500E-01   1.8170E-13  0.0044
   8.7500E-01   1.0000E+00   1.8332E-13  0.0049
   1.0000E+00   1.1250E+00   1.7953E-13  0.0052
   1.1250E+00   1.2500E+00   1.7587E-13  0.0051
   1.2500E+00   1.3750E+00   1.7531E-13  0.0041
   1.3750E+00   1.5000E+00   1.7507E-13  0.0049
   1.5000E+00   1.6250E+00   1.7549E-13  0.0051
