[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.1000000      # minimum value of x-mesh points
     xmax =  0.1000000      # maximum value of x-mesh points
#    xdel =  0.2000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -1.00000E-01  1.00000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   0.000000      # minimum value of y-mesh points
     ymax =   30.00000      # maximum value of y-mesh points
#    ydel =  0.2000000      # mesh width of y-mesh points
       ny =    150          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           0.00000E+00  2.00000E-01  4.00000E-01  6.00000E-01  8.00000E-01
#           1.00000E+00  1.20000E+00  1.40000E+00  1.60000E+00  1.80000E+00
#           2.00000E+00  2.20000E+00  2.40000E+00  2.60000E+00  2.80000E+00
#           3.00000E+00  3.20000E+00  3.40000E+00  3.60000E+00  3.80000E+00
#           4.00000E+00  4.20000E+00  4.40000E+00  4.60000E+00  4.80000E+00
#           5.00000E+00  5.20000E+00  5.40000E+00  5.60000E+00  5.80000E+00
#           6.00000E+00  6.20000E+00  6.40000E+00  6.60000E+00  6.80000E+00
#           7.00000E+00  7.20000E+00  7.40000E+00  7.60000E+00  7.80000E+00
#           8.00000E+00  8.20000E+00  8.40000E+00  8.60000E+00  8.80000E+00
#           9.00000E+00  9.20000E+00  9.40000E+00  9.60000E+00  9.80000E+00
#           1.00000E+01  1.02000E+01  1.04000E+01  1.06000E+01  1.08000E+01
#           1.10000E+01  1.12000E+01  1.14000E+01  1.16000E+01  1.18000E+01
#           1.20000E+01  1.22000E+01  1.24000E+01  1.26000E+01  1.28000E+01
#           1.30000E+01  1.32000E+01  1.34000E+01  1.36000E+01  1.38000E+01
#           1.40000E+01  1.42000E+01  1.44000E+01  1.46000E+01  1.48000E+01
#           1.50000E+01  1.52000E+01  1.54000E+01  1.56000E+01  1.58000E+01
#           1.60000E+01  1.62000E+01  1.64000E+01  1.66000E+01  1.68000E+01
#           1.70000E+01  1.72000E+01  1.74000E+01  1.76000E+01  1.78000E+01
#           1.80000E+01  1.82000E+01  1.84000E+01  1.86000E+01  1.88000E+01
#           1.90000E+01  1.92000E+01  1.94000E+01  1.96000E+01  1.98000E+01
#           2.00000E+01  2.02000E+01  2.04000E+01  2.06000E+01  2.08000E+01
#           2.10000E+01  2.12000E+01  2.14000E+01  2.16000E+01  2.18000E+01
#           2.20000E+01  2.22000E+01  2.24000E+01  2.26000E+01  2.28000E+01
#           2.30000E+01  2.32000E+01  2.34000E+01  2.36000E+01  2.38000E+01
#           2.40000E+01  2.42000E+01  2.44000E+01  2.46000E+01  2.48000E+01
#           2.50000E+01  2.52000E+01  2.54000E+01  2.56000E+01  2.58000E+01
#           2.60000E+01  2.62000E+01  2.64000E+01  2.66000E+01  2.68000E+01
#           2.70000E+01  2.72000E+01  2.74000E+01  2.76000E+01  2.78000E+01
#           2.80000E+01  2.82000E+01  2.84000E+01  2.86000E+01  2.88000E+01
#           2.90000E+01  2.92000E+01  2.94000E+01  2.96000E+01  2.98000E+01
#           3.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.1000000      # minimum value of z-mesh points
     zmax =  0.1000000      # maximum value of z-mesh points
#    zdel =  0.2000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.00000E-01  1.00000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     y           # axis of output
     file = deposit-z-water.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         158 (  0)           0 (  0)         158 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iz  =  1
#   x = (  -1.0000E-01  -   1.0000E-01  )
#   z = (  -1.0000E-01  -   1.0000E-01  )

x: y [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l   n 
#  y-lower      y-upper      all         r.err 
   0.0000E+00   2.0000E-01   7.8927E-14  0.0094
   2.0000E-01   4.0000E-01   1.2979E-13  0.0082
   4.0000E-01   6.0000E-01   1.5475E-13  0.0071
   6.0000E-01   8.0000E-01   1.6897E-13  0.0074
   8.0000E-01   1.0000E+00   1.7440E-13  0.0059
   1.0000E+00   1.2000E+00   1.8055E-13  0.0066
   1.2000E+00   1.4000E+00   1.8274E-13  0.0064
   1.4000E+00   1.6000E+00   1.8385E-13  0.0063
   1.6000E+00   1.8000E+00   1.8402E-13  0.0070
   1.8000E+00   2.0000E+00   1.8417E-13  0.0064
   2.0000E+00   2.2000E+00   1.8406E-13  0.0066
   2.2000E+00   2.4000E+00   1.7883E-13  0.0068
   2.4000E+00   2.6000E+00   1.7637E-13  0.0079
   2.6000E+00   2.8000E+00   1.7801E-13  0.0077
   2.8000E+00   3.0000E+00   1.7621E-13  0.0073
   3.0000E+00   3.2000E+00   1.7296E-13  0.0065
   3.2000E+00   3.4000E+00   1.7116E-13  0.0060
   3.4000E+00   3.6000E+00   1.6754E-13  0.0072
   3.6000E+00   3.8000E+00   1.6589E-13  0.0074
   3.8000E+00   4.0000E+00   1.6372E-13  0.0070
   4.0000E+00   4.2000E+00   1.6189E-13  0.0084
   4.2000E+00   4.4000E+00   1.6228E-13  0.0064
   4.4000E+00   4.6000E+00   1.5775E-13  0.0061
   4.6000E+00   4.8000E+00   1.5553E-13  0.0075
   4.8000E+00   5.0000E+00   1.5501E-13  0.0085
   5.0000E+00   5.2000E+00   1.5370E-13  0.0079
   5.2000E+00   5.4000E+00   1.5032E-13  0.0076
   5.4000E+00   5.6000E+00   1.4730E-13  0.0075
   5.6000E+00   5.8000E+00   1.4874E-13  0.0064
   5.8000E+00   6.0000E+00   1.4584E-13  0.0079
   6.0000E+00   6.2000E+00   1.4431E-13  0.0085
   6.2000E+00   6.4000E+00   1.3993E-13  0.0075
   6.4000E+00   6.6000E+00   1.3933E-13  0.0084
   6.6000E+00   6.8000E+00   1.3986E-13  0.0070
   6.8000E+00   7.0000E+00   1.3549E-13  0.0086
   7.0000E+00   7.2000E+00   1.3486E-13  0.0079
   7.2000E+00   7.4000E+00   1.3204E-13  0.0087
   7.4000E+00   7.6000E+00   1.3166E-13  0.0089
   7.6000E+00   7.8000E+00   1.3035E-13  0.0078
   7.8000E+00   8.0000E+00   1.2793E-13  0.0082
   8.0000E+00   8.2000E+00   1.2746E-13  0.0080
   8.2000E+00   8.4000E+00   1.2551E-13  0.0071
   8.4000E+00   8.6000E+00   1.2233E-13  0.0079
   8.6000E+00   8.8000E+00   1.2161E-13  0.0081
   8.8000E+00   9.0000E+00   1.1920E-13  0.0087
   9.0000E+00   9.2000E+00   1.1967E-13  0.0085
   9.2000E+00   9.4000E+00   1.1545E-13  0.0089
   9.4000E+00   9.6000E+00   1.1645E-13  0.0094
   9.6000E+00   9.8000E+00   1.1600E-13  0.0092
   9.8000E+00   1.0000E+01   1.1251E-13  0.0076
   1.0000E+01   1.0200E+01   1.1116E-13  0.0089
   1.0200E+01   1.0400E+01   1.0867E-13  0.0090
   1.0400E+01   1.0600E+01   1.0826E-13  0.0086
   1.0600E+01   1.0800E+01   1.0728E-13  0.0100
   1.0800E+01   1.1000E+01   1.0595E-13  0.0089
   1.1000E+01   1.1200E+01   1.0380E-13  0.0095
   1.1200E+01   1.1400E+01   1.0338E-13  0.0095
   1.1400E+01   1.1600E+01   1.0234E-13  0.0104
   1.1600E+01   1.1800E+01   1.0118E-13  0.0091
   1.1800E+01   1.2000E+01   9.9123E-14  0.0087
   1.2000E+01   1.2200E+01   9.8174E-14  0.0090
   1.2200E+01   1.2400E+01   9.6497E-14  0.0104
   1.2400E+01   1.2600E+01   9.5709E-14  0.0097
   1.2600E+01   1.2800E+01   9.4184E-14  0.0109
   1.2800E+01   1.3000E+01   9.2548E-14  0.0096
   1.3000E+01   1.3200E+01   9.0855E-14  0.0095
   1.3200E+01   1.3400E+01   9.0413E-14  0.0105
   1.3400E+01   1.3600E+01   8.8693E-14  0.0084
   1.3600E+01   1.3800E+01   8.8015E-14  0.0087
   1.3800E+01   1.4000E+01   8.5904E-14  0.0108
   1.4000E+01   1.4200E+01   8.7307E-14  0.0114
   1.4200E+01   1.4400E+01   8.5672E-14  0.0120
   1.4400E+01   1.4600E+01   8.3577E-14  0.0100
   1.4600E+01   1.4800E+01   8.2334E-14  0.0102
   1.4800E+01   1.5000E+01   8.0844E-14  0.0100
   1.5000E+01   1.5200E+01   8.1458E-14  0.0103
