[ T-Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -15.00000      # minimum value of x-mesh points
     xmax =   15.00000      # maximum value of x-mesh points
#    xdel =  0.2500000      # mesh width of x-mesh points
       nx =    120          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -1.50000E+01 -1.47500E+01 -1.45000E+01 -1.42500E+01 -1.40000E+01
#          -1.37500E+01 -1.35000E+01 -1.32500E+01 -1.30000E+01 -1.27500E+01
#          -1.25000E+01 -1.22500E+01 -1.20000E+01 -1.17500E+01 -1.15000E+01
#          -1.12500E+01 -1.10000E+01 -1.07500E+01 -1.05000E+01 -1.02500E+01
#          -1.00000E+01 -9.75000E+00 -9.50000E+00 -9.25000E+00 -9.00000E+00
#          -8.75000E+00 -8.50000E+00 -8.25000E+00 -8.00000E+00 -7.75000E+00
#          -7.50000E+00 -7.25000E+00 -7.00000E+00 -6.75000E+00 -6.50000E+00
#          -6.25000E+00 -6.00000E+00 -5.75000E+00 -5.50000E+00 -5.25000E+00
#          -5.00000E+00 -4.75000E+00 -4.50000E+00 -4.25000E+00 -4.00000E+00
#          -3.75000E+00 -3.50000E+00 -3.25000E+00 -3.00000E+00 -2.75000E+00
#          -2.50000E+00 -2.25000E+00 -2.00000E+00 -1.75000E+00 -1.50000E+00
#          -1.25000E+00 -1.00000E+00 -7.50000E-01 -5.00000E-01 -2.50000E-01
#           0.00000E+00  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   9.850000      # minimum value of y-mesh points
     ymax =   10.15000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           9.85000E+00  1.01500E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.2500000      # minimum value of z-mesh points
     zmax =  0.2500000      # maximum value of z-mesh points
#    zdel =  0.5000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -2.50000E-01  2.50000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     x           # axis of output
     file = deposit-y-water-100x.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         128 (  0)           0 (  0)         128 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iy  =  1   iz  =  1
#   y = (   9.8500E+00  -   1.0150E+01  )
#   z = (  -2.5000E-01  -   2.5000E-01  )

x: x [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l n 
#  x-lower      x-upper        all       r.err 
  -1.5000E+01  -1.4750E+01   1.7345E-16  0.1977
  -1.4750E+01  -1.4500E+01   1.9813E-16  0.2030
  -1.4500E+01  -1.4250E+01   2.6617E-16  0.1691
  -1.4250E+01  -1.4000E+01   2.0214E-16  0.1724
  -1.4000E+01  -1.3750E+01   2.8778E-16  0.1405
  -1.3750E+01  -1.3500E+01   2.3654E-16  0.1459
  -1.3500E+01  -1.3250E+01   2.8081E-16  0.1352
  -1.3250E+01  -1.3000E+01   3.1112E-16  0.1329
  -1.3000E+01  -1.2750E+01   3.8728E-16  0.1703
  -1.2750E+01  -1.2500E+01   4.1357E-16  0.1425
  -1.2500E+01  -1.2250E+01   3.2832E-16  0.1344
  -1.2250E+01  -1.2000E+01   3.3491E-16  0.1260
  -1.2000E+01  -1.1750E+01   3.2842E-16  0.1367
  -1.1750E+01  -1.1500E+01   4.0579E-16  0.1170
  -1.1500E+01  -1.1250E+01   5.1935E-16  0.1128
  -1.1250E+01  -1.1000E+01   5.1667E-16  0.1100
  -1.1000E+01  -1.0750E+01   5.6937E-16  0.1223
  -1.0750E+01  -1.0500E+01   5.5931E-16  0.1026
  -1.0500E+01  -1.0250E+01   4.9788E-16  0.1047
  -1.0250E+01  -1.0000E+01   5.4138E-16  0.1252
  -1.0000E+01  -9.7500E+00   6.3099E-16  0.1151
  -9.7500E+00  -9.5000E+00   7.8589E-16  0.0953
  -9.5000E+00  -9.2500E+00   7.2895E-16  0.1079
  -9.2500E+00  -9.0000E+00   7.6197E-16  0.1008
  -9.0000E+00  -8.7500E+00   9.5199E-16  0.0978
  -8.7500E+00  -8.5000E+00   1.0380E-15  0.0918
  -8.5000E+00  -8.2500E+00   9.5364E-16  0.0870
  -8.2500E+00  -8.0000E+00   1.0264E-15  0.0905
  -8.0000E+00  -7.7500E+00   1.0294E-15  0.0841
  -7.7500E+00  -7.5000E+00   1.0946E-15  0.0852
  -7.5000E+00  -7.2500E+00   1.2505E-15  0.0859
  -7.2500E+00  -7.0000E+00   1.5750E-15  0.0804
  -7.0000E+00  -6.7500E+00   1.7165E-15  0.0782
  -6.7500E+00  -6.5000E+00   1.8819E-15  0.0721
  -6.5000E+00  -6.2500E+00   1.8565E-15  0.0726
  -6.2500E+00  -6.0000E+00   2.1545E-15  0.0679
  -6.0000E+00  -5.7500E+00   2.6188E-15  0.0638
  -5.7500E+00  -5.5000E+00   2.9567E-15  0.0659
  -5.5000E+00  -5.2500E+00   3.5328E-15  0.0582
  -5.2500E+00  -5.0000E+00   6.0233E-15  0.0499
  -5.0000E+00  -4.7500E+00   1.3199E-14  0.0350
  -4.7500E+00  -4.5000E+00   2.7873E-14  0.0245
  -4.5000E+00  -4.2500E+00   2.9899E-14  0.0237
  -4.2500E+00  -4.0000E+00   3.0206E-14  0.0236
  -4.0000E+00  -3.7500E+00   3.0478E-14  0.0232
  -3.7500E+00  -3.5000E+00   3.0755E-14  0.0231
  -3.5000E+00  -3.2500E+00   3.2099E-14  0.0229
  -3.2500E+00  -3.0000E+00   3.0456E-14  0.0233
  -3.0000E+00  -2.7500E+00   3.1244E-14  0.0231
  -2.7500E+00  -2.5000E+00   3.2024E-14  0.0228
  -2.5000E+00  -2.2500E+00   3.2090E-14  0.0230
  -2.2500E+00  -2.0000E+00   3.2470E-14  0.0228
  -2.0000E+00  -1.7500E+00   3.2327E-14  0.0228
  -1.7500E+00  -1.5000E+00   3.1810E-14  0.0228
  -1.5000E+00  -1.2500E+00   3.1226E-14  0.0229
  -1.2500E+00  -1.0000E+00   3.1176E-14  0.0228
  -1.0000E+00  -7.5000E-01   3.1455E-14  0.0228
  -7.5000E-01  -5.0000E-01   3.2563E-14  0.0226
  -5.0000E-01  -2.5000E-01   3.2035E-14  0.0225
  -2.5000E-01   0.0000E+00   3.2831E-14  0.0229
   0.0000E+00   2.5000E-01   3.1642E-14  0.0228
   2.5000E-01   5.0000E-01   3.3057E-14  0.0225
   5.0000E-01   7.5000E-01   3.2435E-14  0.0225
   7.5000E-01   1.0000E+00   3.2149E-14  0.0228
   1.0000E+00   1.2500E+00   3.2232E-14  0.0227
