[ T-Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   19.85000      # minimum value of y-mesh points
     ymax =   20.15000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.98500E+01  2.01500E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -15.00000      # minimum value of z-mesh points
     zmax =   15.00000      # maximum value of z-mesh points
#    zdel =  0.2500000      # mesh width of z-mesh points
       nz =    120          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.50000E+01 -1.47500E+01 -1.45000E+01 -1.42500E+01 -1.40000E+01
#          -1.37500E+01 -1.35000E+01 -1.32500E+01 -1.30000E+01 -1.27500E+01
#          -1.25000E+01 -1.22500E+01 -1.20000E+01 -1.17500E+01 -1.15000E+01
#          -1.12500E+01 -1.10000E+01 -1.07500E+01 -1.05000E+01 -1.02500E+01
#          -1.00000E+01 -9.75000E+00 -9.50000E+00 -9.25000E+00 -9.00000E+00
#          -8.75000E+00 -8.50000E+00 -8.25000E+00 -8.00000E+00 -7.75000E+00
#          -7.50000E+00 -7.25000E+00 -7.00000E+00 -6.75000E+00 -6.50000E+00
#          -6.25000E+00 -6.00000E+00 -5.75000E+00 -5.50000E+00 -5.25000E+00
#          -5.00000E+00 -4.75000E+00 -4.50000E+00 -4.25000E+00 -4.00000E+00
#          -3.75000E+00 -3.50000E+00 -3.25000E+00 -3.00000E+00 -2.75000E+00
#          -2.50000E+00 -2.25000E+00 -2.00000E+00 -1.75000E+00 -1.50000E+00
#          -1.25000E+00 -1.00000E+00 -7.50000E-01 -5.00000E-01 -2.50000E-01
#           0.00000E+00  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-y-water-200z.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         128 (  0)           0 (  0)         128 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   1.9850E+01  -   2.0150E+01  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l n 
#  z-lower      z-upper        all       r.err 
  -1.5000E+01  -1.4750E+01   2.6645E-16  0.1822
  -1.4750E+01  -1.4500E+01   2.4286E-16  0.2231
  -1.4500E+01  -1.4250E+01   3.2621E-16  0.1863
  -1.4250E+01  -1.4000E+01   2.8681E-16  0.1879
  -1.4000E+01  -1.3750E+01   2.5985E-16  0.1435
  -1.3750E+01  -1.3500E+01   3.6008E-16  0.1856
  -1.3500E+01  -1.3250E+01   4.3810E-16  0.1595
  -1.3250E+01  -1.3000E+01   3.5745E-16  0.1440
  -1.3000E+01  -1.2750E+01   4.0237E-16  0.1586
  -1.2750E+01  -1.2500E+01   4.7879E-16  0.1363
  -1.2500E+01  -1.2250E+01   4.6967E-16  0.1389
  -1.2250E+01  -1.2000E+01   5.1239E-16  0.1407
  -1.2000E+01  -1.1750E+01   5.7310E-16  0.1330
  -1.1750E+01  -1.1500E+01   4.5094E-16  0.1259
  -1.1500E+01  -1.1250E+01   5.2935E-16  0.1275
  -1.1250E+01  -1.1000E+01   5.4306E-16  0.1126
  -1.1000E+01  -1.0750E+01   7.3614E-16  0.1150
  -1.0750E+01  -1.0500E+01   7.0762E-16  0.1041
  -1.0500E+01  -1.0250E+01   5.9091E-16  0.1149
  -1.0250E+01  -1.0000E+01   6.7921E-16  0.1191
  -1.0000E+01  -9.7500E+00   7.8948E-16  0.1139
  -9.7500E+00  -9.5000E+00   8.3112E-16  0.1169
  -9.5000E+00  -9.2500E+00   9.1965E-16  0.1031
  -9.2500E+00  -9.0000E+00   9.3045E-16  0.1122
  -9.0000E+00  -8.7500E+00   8.0382E-16  0.1048
  -8.7500E+00  -8.5000E+00   1.2578E-15  0.1002
  -8.5000E+00  -8.2500E+00   1.2153E-15  0.0940
  -8.2500E+00  -8.0000E+00   1.2487E-15  0.0981
  -8.0000E+00  -7.7500E+00   1.2693E-15  0.0936
  -7.7500E+00  -7.5000E+00   1.2903E-15  0.0994
  -7.5000E+00  -7.2500E+00   1.4227E-15  0.0884
  -7.2500E+00  -7.0000E+00   1.5408E-15  0.0857
  -7.0000E+00  -6.7500E+00   1.5728E-15  0.0832
  -6.7500E+00  -6.5000E+00   1.6469E-15  0.0861
  -6.5000E+00  -6.2500E+00   2.0272E-15  0.0783
  -6.2500E+00  -6.0000E+00   2.5618E-15  0.0700
  -6.0000E+00  -5.7500E+00   2.6259E-15  0.0721
  -5.7500E+00  -5.5000E+00   3.7936E-15  0.0608
  -5.5000E+00  -5.2500E+00   7.3215E-15  0.0480
  -5.2500E+00  -5.0000E+00   1.3689E-14  0.0352
  -5.0000E+00  -4.7500E+00   1.5243E-14  0.0335
  -4.7500E+00  -4.5000E+00   1.5973E-14  0.0331
  -4.5000E+00  -4.2500E+00   1.6128E-14  0.0326
  -4.2500E+00  -4.0000E+00   1.5864E-14  0.0328
  -4.0000E+00  -3.7500E+00   1.7266E-14  0.0315
  -3.7500E+00  -3.5000E+00   1.6933E-14  0.0314
  -3.5000E+00  -3.2500E+00   1.6196E-14  0.0318
  -3.2500E+00  -3.0000E+00   1.6472E-14  0.0318
  -3.0000E+00  -2.7500E+00   1.7209E-14  0.0317
  -2.7500E+00  -2.5000E+00   1.7388E-14  0.0311
  -2.5000E+00  -2.2500E+00   1.7392E-14  0.0312
  -2.2500E+00  -2.0000E+00   1.6907E-14  0.0320
  -2.0000E+00  -1.7500E+00   1.7057E-14  0.0315
  -1.7500E+00  -1.5000E+00   1.7359E-14  0.0314
  -1.5000E+00  -1.2500E+00   1.7119E-14  0.0312
  -1.2500E+00  -1.0000E+00   1.8455E-14  0.0307
  -1.0000E+00  -7.5000E-01   1.7247E-14  0.0315
  -7.5000E-01  -5.0000E-01   1.7901E-14  0.0312
  -5.0000E-01  -2.5000E-01   1.7960E-14  0.0308
  -2.5000E-01   0.0000E+00   1.8510E-14  0.0308
   0.0000E+00   2.5000E-01   1.7518E-14  0.0313
   2.5000E-01   5.0000E-01   1.7484E-14  0.0309
   5.0000E-01   7.5000E-01   1.8008E-14  0.0306
   7.5000E-01   1.0000E+00   1.6186E-14  0.0316
   1.0000E+00   1.2500E+00   1.7249E-14  0.0314
