[ T-Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.1000000      # minimum value of x-mesh points
     xmax =  0.1000000      # maximum value of x-mesh points
#    xdel =  0.2000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -1.00000E-01  1.00000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   0.000000      # minimum value of y-mesh points
     ymax =   30.00000      # maximum value of y-mesh points
#    ydel =  0.2000000      # mesh width of y-mesh points
       ny =    150          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           0.00000E+00  2.00000E-01  4.00000E-01  6.00000E-01  8.00000E-01
#           1.00000E+00  1.20000E+00  1.40000E+00  1.60000E+00  1.80000E+00
#           2.00000E+00  2.20000E+00  2.40000E+00  2.60000E+00  2.80000E+00
#           3.00000E+00  3.20000E+00  3.40000E+00  3.60000E+00  3.80000E+00
#           4.00000E+00  4.20000E+00  4.40000E+00  4.60000E+00  4.80000E+00
#           5.00000E+00  5.20000E+00  5.40000E+00  5.60000E+00  5.80000E+00
#           6.00000E+00  6.20000E+00  6.40000E+00  6.60000E+00  6.80000E+00
#           7.00000E+00  7.20000E+00  7.40000E+00  7.60000E+00  7.80000E+00
#           8.00000E+00  8.20000E+00  8.40000E+00  8.60000E+00  8.80000E+00
#           9.00000E+00  9.20000E+00  9.40000E+00  9.60000E+00  9.80000E+00
#           1.00000E+01  1.02000E+01  1.04000E+01  1.06000E+01  1.08000E+01
#           1.10000E+01  1.12000E+01  1.14000E+01  1.16000E+01  1.18000E+01
#           1.20000E+01  1.22000E+01  1.24000E+01  1.26000E+01  1.28000E+01
#           1.30000E+01  1.32000E+01  1.34000E+01  1.36000E+01  1.38000E+01
#           1.40000E+01  1.42000E+01  1.44000E+01  1.46000E+01  1.48000E+01
#           1.50000E+01  1.52000E+01  1.54000E+01  1.56000E+01  1.58000E+01
#           1.60000E+01  1.62000E+01  1.64000E+01  1.66000E+01  1.68000E+01
#           1.70000E+01  1.72000E+01  1.74000E+01  1.76000E+01  1.78000E+01
#           1.80000E+01  1.82000E+01  1.84000E+01  1.86000E+01  1.88000E+01
#           1.90000E+01  1.92000E+01  1.94000E+01  1.96000E+01  1.98000E+01
#           2.00000E+01  2.02000E+01  2.04000E+01  2.06000E+01  2.08000E+01
#           2.10000E+01  2.12000E+01  2.14000E+01  2.16000E+01  2.18000E+01
#           2.20000E+01  2.22000E+01  2.24000E+01  2.26000E+01  2.28000E+01
#           2.30000E+01  2.32000E+01  2.34000E+01  2.36000E+01  2.38000E+01
#           2.40000E+01  2.42000E+01  2.44000E+01  2.46000E+01  2.48000E+01
#           2.50000E+01  2.52000E+01  2.54000E+01  2.56000E+01  2.58000E+01
#           2.60000E+01  2.62000E+01  2.64000E+01  2.66000E+01  2.68000E+01
#           2.70000E+01  2.72000E+01  2.74000E+01  2.76000E+01  2.78000E+01
#           2.80000E+01  2.82000E+01  2.84000E+01  2.86000E+01  2.88000E+01
#           2.90000E+01  2.92000E+01  2.94000E+01  2.96000E+01  2.98000E+01
#           3.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.1000000      # minimum value of z-mesh points
     zmax =  0.1000000      # maximum value of z-mesh points
#    zdel =  0.2000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.00000E-01  1.00000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     y           # axis of output
     file = deposit-z-water.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         158 (  0)           0 (  0)         158 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iz  =  1
#   x = (  -1.0000E-01  -   1.0000E-01  )
#   z = (  -1.0000E-01  -   1.0000E-01  )

x: y [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l n 
#  y-lower      y-upper        all       r.err 
   0.0000E+00   2.0000E-01   2.2076E-14  0.0470
   2.0000E-01   4.0000E-01   3.6458E-14  0.0372
   4.0000E-01   6.0000E-01   4.2414E-14  0.0362
   6.0000E-01   8.0000E-01   4.7740E-14  0.0341
   8.0000E-01   1.0000E+00   4.8632E-14  0.0337
   1.0000E+00   1.2000E+00   4.6664E-14  0.0344
   1.2000E+00   1.4000E+00   4.9803E-14  0.0332
   1.4000E+00   1.6000E+00   5.1176E-14  0.0338
   1.6000E+00   1.8000E+00   4.8281E-14  0.0334
   1.8000E+00   2.0000E+00   5.0540E-14  0.0331
   2.0000E+00   2.2000E+00   4.8857E-14  0.0337
   2.2000E+00   2.4000E+00   4.9655E-14  0.0328
   2.4000E+00   2.6000E+00   5.0850E-14  0.0338
   2.6000E+00   2.8000E+00   4.7515E-14  0.0341
   2.8000E+00   3.0000E+00   4.6420E-14  0.0340
   3.0000E+00   3.2000E+00   4.6304E-14  0.0345
   3.2000E+00   3.4000E+00   4.7440E-14  0.0341
   3.4000E+00   3.6000E+00   4.7859E-14  0.0340
   3.6000E+00   3.8000E+00   4.8892E-14  0.0337
   3.8000E+00   4.0000E+00   4.7473E-14  0.0338
   4.0000E+00   4.2000E+00   4.6745E-14  0.0342
   4.2000E+00   4.4000E+00   4.4682E-14  0.0352
   4.4000E+00   4.6000E+00   4.6229E-14  0.0351
   4.6000E+00   4.8000E+00   4.4708E-14  0.0351
   4.8000E+00   5.0000E+00   4.3072E-14  0.0362
   5.0000E+00   5.2000E+00   4.0174E-14  0.0370
   5.2000E+00   5.4000E+00   4.0564E-14  0.0363
   5.4000E+00   5.6000E+00   3.9574E-14  0.0372
   5.6000E+00   5.8000E+00   3.9346E-14  0.0365
   5.8000E+00   6.0000E+00   3.8995E-14  0.0372
   6.0000E+00   6.2000E+00   3.9491E-14  0.0377
   6.2000E+00   6.4000E+00   4.0179E-14  0.0371
   6.4000E+00   6.6000E+00   4.0499E-14  0.0368
   6.6000E+00   6.8000E+00   3.8088E-14  0.0384
   6.8000E+00   7.0000E+00   3.7743E-14  0.0379
   7.0000E+00   7.2000E+00   3.8151E-14  0.0390
   7.2000E+00   7.4000E+00   3.7742E-14  0.0389
   7.4000E+00   7.6000E+00   3.6480E-14  0.0378
   7.6000E+00   7.8000E+00   3.4847E-14  0.0393
   7.8000E+00   8.0000E+00   3.5258E-14  0.0397
   8.0000E+00   8.2000E+00   3.5839E-14  0.0391
   8.2000E+00   8.4000E+00   3.4590E-14  0.0399
   8.4000E+00   8.6000E+00   3.1411E-14  0.0416
   8.6000E+00   8.8000E+00   3.2890E-14  0.0407
   8.8000E+00   9.0000E+00   3.3506E-14  0.0403
   9.0000E+00   9.2000E+00   3.3325E-14  0.0405
   9.2000E+00   9.4000E+00   3.4566E-14  0.0403
   9.4000E+00   9.6000E+00   3.0800E-14  0.0424
   9.6000E+00   9.8000E+00   3.2151E-14  0.0411
   9.8000E+00   1.0000E+01   3.3509E-14  0.0403
   1.0000E+01   1.0200E+01   3.2052E-14  0.0411
   1.0200E+01   1.0400E+01   2.9575E-14  0.0426
   1.0400E+01   1.0600E+01   2.8905E-14  0.0443
   1.0600E+01   1.0800E+01   2.7666E-14  0.0450
   1.0800E+01   1.1000E+01   3.2592E-14  0.0419
   1.1000E+01   1.1200E+01   3.0363E-14  0.0424
   1.1200E+01   1.1400E+01   3.0181E-14  0.0426
   1.1400E+01   1.1600E+01   2.9885E-14  0.0443
   1.1600E+01   1.1800E+01   2.9831E-14  0.0433
   1.1800E+01   1.2000E+01   2.8486E-14  0.0440
   1.2000E+01   1.2200E+01   2.7757E-14  0.0438
   1.2200E+01   1.2400E+01   2.9065E-14  0.0428
   1.2400E+01   1.2600E+01   2.9398E-14  0.0437
   1.2600E+01   1.2800E+01   2.8100E-14  0.0447
   1.2800E+01   1.3000E+01   2.6515E-14  0.0458
   1.3000E+01   1.3200E+01   2.7908E-14  0.0455
   1.3200E+01   1.3400E+01   2.5943E-14  0.0465
   1.3400E+01   1.3600E+01   2.4079E-14  0.0483
   1.3600E+01   1.3800E+01   2.6275E-14  0.0458
   1.3800E+01   1.4000E+01   2.4648E-14  0.0479
   1.4000E+01   1.4200E+01   2.5344E-14  0.0464
   1.4200E+01   1.4400E+01   2.7732E-14  0.0460
   1.4400E+01   1.4600E+01   2.4589E-14  0.0464
   1.4600E+01   1.4800E+01   2.3774E-14  0.0486
   1.4800E+01   1.5000E+01   2.5306E-14  0.0483
